domain,horizon,variant,same_variant_selected_folds,positive_selected_folds,exploratory_replicated
Agriculture,1,none,0,0,False
Agriculture,3,none,0,0,False
Agriculture,6,semantic_residual,1,1,False
Agriculture,12,frequency_residual,1,1,False
Climate,1,none,0,0,False
Climate,4,semantic_residual,1,0,False
Climate,12,semantic_residual,1,1,False
Climate,24,semantic_residual,2,2,True
Economy,1,none,0,0,False
Economy,3,none,0,0,False
Economy,6,none,0,0,False
Economy,12,none,0,0,False
Energy,1,none,0,0,False
Energy,4,none,0,0,False
Energy,12,none,0,0,False
Energy,24,none,0,0,False
Environment,1,semantic_residual,3,2,True
Environment,7,semantic_residual,1,1,False
Environment,14,none,0,0,False
Environment,28,none,0,0,False
Health_AFR,1,none,0,0,False
Health_AFR,4,none,0,0,False
Health_AFR,12,none,0,0,False
Health_AFR,24,none,0,0,False
Health_US,1,none,0,0,False
Health_US,4,none,0,0,False
Health_US,12,none,0,0,False
Health_US,24,none,0,0,False
Security,1,none,0,0,False
Security,3,none,0,0,False
Security,6,none,0,0,False
Security,12,none,0,0,False
SocialGood,1,none,0,0,False
SocialGood,3,none,0,0,False
SocialGood,6,none,0,0,False
SocialGood,12,none,0,0,False
Traffic,1,none,0,0,False
Traffic,3,none,0,0,False
Traffic,6,none,0,0,False
Traffic,12,none,0,0,False
