domain,horizon,fold,variant,fallback,test_windows,block_length,full_dimension,original_gain_vs_fallback_pct,frozen_selected_ci_low_pct,frozen_selected_ci_high_pct,legacy_circular_p,legacy_numeric_ablation_ci_low_pct,legacy_numeric_ablation_ci_high_pct,fallback_head_gain_vs_fallback_pct,fallback_head_ci_low_pct,fallback_head_ci_high_pct,full_gain_vs_dimension_matched_numeric_pct,full_vs_dimension_ci_low_pct,full_vs_dimension_ci_high_pct,fallback_bootstrap_seed,dimension_bootstrap_seed,legacy_numeric_ablation_gain_pct,numeric_only_dimension,quality_only_dimension,semantic_only_dimension,dimension_matched_numeric_dimension,numeric_only_alpha,quality_only_alpha,semantic_only_alpha,full_alpha,dimension_matched_numeric_alpha,diagnostic_circular_p,joint_posthoc_support
Agriculture,12,1,frequency_residual,AR-Ridge,42,12,260,52.94586264377854,37.17186782106514,95.29650457830482,0.06,-0.5396543267290793,3.437054420524532,37.60047440375804,32.59880029722685,53.02131478073057,33.260919112025434,29.54257071025856,47.21822930350393,12000,13000,1.4976965188730706,34,44,250,260,10000.0,10000.0,10000.0,10000.0,10000.0,0.068,False
Agriculture,6,1,semantic_residual,AR-Ridge,48,12,58,23.194220515918673,6.694206589575671,43.97208348731043,0.023,2.4476987146829354,29.94023766870963,28.994111956151503,20.410618835988842,50.87419415298136,5.044466371687006,3.510511091334124,8.565104389424512,12001,13001,15.493261849068817,24,34,48,58,10000.0,10000.0,10000.0,10000.0,10000.0,0.023,True
Climate,12,3,semantic_residual,AR-Ridge,117,24,86,1.3144589410252872,-3.3473576077061598,4.265538070111236,0.212,-3.587476925877063,5.336631451503069,-13.739867695558527,-50.33823754919225,17.374548675200046,1.4376568257004507,0.13594488643199126,3.97925836918791,12002,13002,1.4491963399083096,52,62,76,86,10000.0,10000.0,10000.0,10000.0,10000.0,0.212,False
Climate,24,2,semantic_residual,AR-Ridge,104,24,86,8.968848129158735,-6.193625743743192,28.72018450878753,0.289,-7.854573921709207,24.996475436674302,-13.321878777359842,-28.93686735230282,-5.559334890825617,3.0369284150500553,1.000012422914391,6.211648037215641,12003,13003,6.920996163379611,52,62,76,86,10000.0,10000.0,10000.0,10000.0,10000.0,0.289,False
Climate,24,3,semantic_residual,AR-Ridge,105,24,86,2.303801558677143,-14.731532206256592,18.305977754375903,0.141,-15.080083893716553,19.46457273120242,-40.00780077065609,-103.2688473262559,14.858831745675726,0.7181752489509363,-1.4420777344630482,2.6374690370771257,12004,13004,1.8474476688947084,52,62,76,86,10000.0,10000.0,10000.0,10000.0,10000.0,0.141,False
Climate,4,3,semantic_residual,AR-Ridge,125,24,86,-3.0121042838483714,-7.4880179758943415,0.1689381199202147,0.245,-4.400884259010695,2.118154792097666,-2.52266171568849,-16.297417105514192,9.399214683879883,-0.3586097322161308,-0.8070764854438424,0.9602156545667591,12005,13005,-0.892789949778483,52,62,76,86,10000.0,10000.0,10000.0,10000.0,10000.0,0.245,False
Environment,1,1,semantic_residual,DLinear-M,1598,7,90,1.4563686487941263,0.02210472577371709,3.0061874539332583,0.03,0.3991505655368902,1.462052130854867,1.61794018705943,0.829488278244419,2.4922892188669326,0.7288006302083927,0.15020748803595113,1.2897189875418382,12006,13006,0.9471019500389977,56,66,80,90,1000.0,10000.0,1000.0,10000.0,10000.0,0.03,False
Environment,1,2,semantic_residual,DLinear-M,1598,7,90,-0.07683296697915676,-1.5276793567448128,1.4291215529815866,0.001,0.5388152979277869,1.5566129826596125,0.960119428911399,0.02524224414586834,1.921384147863732,0.5918738789637668,0.1297972307010983,1.0446934724081924,12007,13007,1.0405304893239653,56,66,80,90,10000.0,10000.0,10000.0,10000.0,10000.0,0.001,False
Environment,1,3,semantic_residual,DLinear-M,1598,7,90,1.7531494299987571,0.497966413603405,3.0676504268515594,0.001,-0.6767639990510366,1.1720426878993737,1.528833628348214,0.4712462854597736,2.5237699824999766,0.45543841540730545,-0.19086114750313715,1.1372793120310167,12008,13008,0.24716963633911737,56,66,80,90,10000.0,10000.0,10000.0,10000.0,10000.0,0.001,False
Environment,7,3,semantic_residual,DLinear-M,1592,7,90,3.263340584816843,1.7486066406284995,4.733228682573173,0.003,-0.2635760629504949,2.3122378337591583,3.442419266480856,1.473680231796253,5.24657312527421,0.32210457216669264,-0.00737763029922124,0.6572562896102137,12009,13009,1.0192328187838662,56,66,80,90,10000.0,10000.0,10000.0,10000.0,10000.0,0.003,False
