     domain  rows  columns  numeric_columns      start        end  invalid_dates  duplicate_dates original_time_order  rows_moved_by_stable_sort  duplicate_start_dates  modal_step_days  ot_missing  all_missing_cells
Agriculture   532        7                3 1980-01-01 2024-04-01              0                0           ascending                          0                      0             31.0           0                248
    Climate  1272       14                8 2000-01-04 2024-05-14              0                0          descending                       1272                      0              7.0           0                  0
    Economy   447        7                3 1987-01-01 2024-03-01              0                0            unsorted                        447                      0             31.0           0                  0
     Energy  1622       12                9 1993-04-05 2024-04-29              0                0           ascending                          0                      0              7.0           0                  0
Environment 15979       10                3 1980-01-01 2023-09-30              0                0           ascending                          0                      0              1.0           0                  0
 Health_AFR  1461        4                1 1996-01-01 2024-04-29              0                0           ascending                          0                      0              7.0           3                  3
  Health_US  1389       19               10 1997-09-29 2024-05-06              0                5           ascending                          0                      5              7.0           0                  0
   Security   309        4                1 1998-09-01 2024-05-01              0                0           ascending                          0                      0             31.0           0                  0
 SocialGood   924        4                1 1948-01-01 2024-12-01              0                0           ascending                          0                      0             31.0           8                  8
    Traffic   651        5                1 1970-01-01 2024-03-01              0                0           ascending                          0                      0             31.0           0                  0
     domain source  rows      start        end  invalid_intervals  usable_fact_rows  unique_usable_facts  fact_missing_pct  prediction_present_pct  duplicate_interval_pct  numerical_interval_coverage_pct  median_texts_per_interval  max_texts_per_interval                       model_use
Agriculture report   890 2018-11-21 2024-05-17                  0               890                  716             0.000                  99.213                  49.101                           10.338                        0.0                      78 fact_only; predictions excluded
Agriculture search  1653 1979-12-31 2024-05-05                  0              1212                 1183            26.679                  96.128                   0.000                           75.564                        3.0                       6 fact_only; predictions excluded
    Climate report   590 1999-01-01 2024-04-30                  0               582                  582             1.356                  98.814                  48.475                           99.843                        2.0                       4 fact_only; predictions excluded
    Climate search  2261 1979-12-31 2024-05-19                  0              1868                 1664            17.382                  53.914                   0.000                          100.000                        2.0                       2 fact_only; predictions excluded
    Economy report   435 1995-01-01 2024-03-31                  0               435                  435             0.000                 100.000                  20.690                           77.181                        1.0                       2 fact_only; predictions excluded
    Economy search  2314 1979-12-31 2024-05-05                  0              2313                 2308             0.043                  99.611                   0.000                          100.000                        5.0                       6 fact_only; predictions excluded
     Energy report   354 2011-07-25 2024-04-26                  0               354                  354             0.000                 100.000                   0.000                           21.825                        0.0                       1 fact_only; predictions excluded
     Energy search  2314 1979-12-31 2024-05-05                  0              2299                 2276             0.648                  74.978                   0.000                           99.630                        1.0                       1 fact_only; predictions excluded
Environment report   156 2021-05-15 2023-10-03                  0               140                  140            10.256                  82.051                  46.795                            0.494                        0.0                      18 fact_only; predictions excluded
Environment search  2312 1979-12-31 2024-05-05                  0              2232                 2174             3.460                  86.808                   0.000                           96.408                        1.0                       1 fact_only; predictions excluded
 Health_AFR report   482 2017-08-21 2024-05-02                  0               108                   96            77.593                  45.228                  20.539                            5.886                        0.0                       4 fact_only; predictions excluded
 Health_AFR search  1911 1980-01-14 2024-05-05                  0              1802                 1793             5.704                  79.696                   0.000                           98.220                        1.0                       1 fact_only; predictions excluded
  Health_US report   864 1999-01-01 2020-01-04                  0               486                  455            43.750                  98.727                   0.231                           39.381                        0.0                       3 fact_only; predictions excluded
  Health_US search  2087 1979-12-31 2024-05-05                  0              1959                 1950             6.133                  85.002                   0.000                           99.784                        1.0                       1 fact_only; predictions excluded
   Security report 19569 1980-04-10 2024-05-01                  0                 0                    0           100.000                   0.000                  45.909                            0.000                        0.0                       0 fact_only; predictions excluded
   Security search  2311 1979-12-31 2024-05-05                  0              2277                 2230             1.471                  66.551                   0.000                          100.000                        5.0                       6 fact_only; predictions excluded
 SocialGood report   371 1994-01-01 2024-04-30                  0               347                  287             6.469                  93.531                   0.000                           37.446                        0.0                       2 fact_only; predictions excluded
 SocialGood search  4590 1979-12-31 2024-05-05                  0              4485                 4446             2.288                  80.044                  49.608                           57.792                        9.0                      12 fact_only; predictions excluded
    Traffic report   367 2002-01-01 2024-03-31                  0               367                  364             0.000                 100.000                   0.000                           41.014                        0.0                       7 fact_only; predictions excluded
    Traffic search  2309 1979-12-31 2024-05-05                  0              2280                 2187             1.256                  98.657                   0.000                           81.720                        5.0                       6 fact_only; predictions excluded
