domain,horizon,variant,decision_windows,block_length,nonoverlapping_decision_blocks,aligned_decision_mse,matched_control_decision_mse,circular_shift_permutations,circular_shift_p_value,approx_mde_loss,approx_mde_vs_control_pct,test_candidate_mse,test_matched_control_mse,test_gain_vs_matched_control_pct,test_loss_difference_vs_control,test_gain_ci_low_pct,test_gain_ci_high_pct
Climate,4,semantic_residual,62,24,2,0.121465994568355,0.1320128573528957,999,0.435,,,0.13663943270755297,0.14431173200460434,5.316476484951749,0.007672299297051365,1.0753635868655669,10.210615596325265
Climate,4,frequency_residual,62,24,2,0.12939986416026644,0.12229314309077939,999,0.042,,,0.13430463973633575,0.13691432467447456,1.9060715117600435,0.0026096849381387986,-18.43767040938365,19.431608826637948
Climate,12,semantic_residual,58,24,2,0.5308303975330884,0.5900538734472138,999,0.279,,,0.4371567434316726,0.47215617552184747,7.412681206910399,0.0349994320901748,1.4888344533719613,14.621210359003745
Climate,12,frequency_residual,58,24,2,0.6560160453566231,0.5664971414952795,999,0.397,,,0.48215070460423115,0.4271451494642098,-12.8774856062436,-0.055005555140021284,-66.7319447495154,33.73190871614055
Climate,24,semantic_residual,52,24,2,1.2908440840510043,1.3206228049526327,999,0.042,,,0.7784955815391654,0.8157687569345596,4.569085917859472,0.03727317539539426,-5.19453006730112,14.211294629506003
Climate,24,frequency_residual,52,24,2,1.3185194018158182,1.3636001320418394,999,0.142,,,0.6914983046622495,0.7961362946718444,13.143225690109405,0.10463799000959498,-5.610970220161927,31.58198463135279
Energy,4,semantic_residual,80,24,3,0.009075633750190987,0.008681286698438087,999,0.376,0.002311709145899356,26.628646492175776,0.01739379851643783,0.01657968760681972,-4.910291007432743,-0.0008141109096181081,-15.117219975965616,2.696906812252209
Energy,4,frequency_residual,80,24,3,0.00674528251422465,0.0073273286339733635,999,0.36,0.0023588588325631358,32.1926168511976,0.021135543408360786,0.01920938240395032,-10.027188609740811,-0.001926161004410469,-21.77145857488041,0.7167514223639433
Energy,12,semantic_residual,76,24,3,0.029117480732938916,0.015444205277565006,999,0.834,0.008081267955070436,52.32556683774252,0.08715624492985144,0.08153632960776756,-6.892529194186947,-0.00561991532208389,-17.780592015192457,1.7645858230808986
Energy,12,frequency_residual,76,24,3,0.08809258720496213,0.014724913857492555,999,0.587,0.08230422317675253,558.945362759275,0.10436150833085035,0.07735798749355545,-34.90721735689482,-0.0270035208372949,-113.99691580058615,15.112927516231155
Energy,24,semantic_residual,70,24,2,0.06479317341469938,0.020182595341197946,999,0.858,,,0.17977602604831347,0.1634641248888315,-9.978887520778867,-0.016311901159481966,-25.74119382356725,-0.502714935285443
Energy,24,frequency_residual,70,24,2,0.1591800302826261,0.05232098199845175,999,0.499,,,0.21054695060318157,0.1425600351496158,-47.69002433410876,-0.06798691545356579,-126.0623307466283,0.06862949340939353
