domain,horizon,numeric_fallback_v2,numeric_fallback_v3,numeric_calibration_mse,numeric_decision_mse,selected_path,calibration_windows,decision_windows,test_windows,ridge_alpha,rows_reordered,semantic_residual_alpha,semantic_residual_decision_mse,semantic_residual_permutation_mean_mse,semantic_residual_permutation_p_value,semantic_residual_segment_wins,semantic_residual_eligible,frequency_residual_alpha,frequency_residual_decision_mse,frequency_residual_permutation_mean_mse,frequency_residual_permutation_p_value,frequency_residual_segment_wins,frequency_residual_eligible,target_boundary,validation_crossing_windows_removed,segment1_windows,segment2_windows,segment_status
Climate,4,PatchTST,PatchTST,0.2767363265525474,0.109255837074384,numeric_fallback,60,61,252,0.0001,1272,1000.0,0.1174732999053621,0.1264109582405432,0.19,False,False,1000.0,0.1261462915526231,0.1261587113283398,0.78,False,False,953,3,29,29,sufficient
Climate,12,PatchTST,PatchTST,0.6910316408861323,0.4396660692808486,numeric_fallback,52,53,244,0.0001,1272,10000.0,0.5363292610649072,0.5441952509437384,0.33,False,False,1000.0,0.6241855166880012,0.5403411631910136,0.99,False,False,953,11,21,21,sufficient
Climate,24,DLinear-M,AR-Ridge,0.9620182142310508,1.4547790609956317,numeric_fallback,40,41,232,0.0001,1272,10000.0,1.1584477397098087,1.2651388408105693,0.01,False,False,10000.0,1.1820691645481007,1.296542674569627,0.1,False,False,953,23,9,9,sufficient
Energy,4,PatchTST,PatchTST,0.0107258309141585,0.0083423532821656,numeric_fallback,78,78,322,0.1,0,1.0,0.0092383869721795,0.0085070336800168,0.73,False,False,10000.0,0.0067422569647807,0.0090245063462403,0.04,True,False,1216,3,37,38,sufficient
Energy,12,PatchTST,PatchTST,0.0340465196271476,0.0195885523870762,numeric_fallback,70,70,314,1.0,0,100.0,0.0309869834231219,0.0176553330026303,0.95,False,False,100.0,0.0936258904503209,0.0217387743910393,1.0,False,False,1216,11,29,30,sufficient
Energy,24,PatchTST,PatchTST,0.0914963131790756,0.0310086573914303,numeric_fallback,58,58,302,0.1,0,100.0,0.0736057495919688,0.0299663614770732,0.94,False,False,100.0,0.1826551357757067,0.1367758916567493,0.82,False,False,1216,23,17,18,sufficient
Economy,3,AR-Ridge,AR-Ridge,0.0402125034795709,0.0400208272437435,numeric_fallback,20,21,88,0.1,447,1.0,0.0403303294496361,0.0439194030690971,0.08,False,False,10000.0,0.0984486204231383,0.0954684325136834,0.62,False,False,334,2,9,10,sufficient
Economy,6,AR-Ridge,PatchTST,0.0417524093383364,0.0526957712790549,numeric_fallback,17,18,85,1.0,447,1.0,0.0471879433859618,0.0527298400315313,0.09,True,False,1000.0,0.139281480488193,0.1390838102667027,0.41,False,False,334,5,6,7,sufficient
Economy,12,AR-Ridge,AR-Ridge,0.0343417855209789,0.0371316086668913,numeric_fallback,11,12,79,1.0,447,1.0,0.0358240148957962,0.0458658245713745,0.01,False,False,1000.0,0.1529319547165743,0.1455294702092204,0.92,False,False,334,11,0,1,insufficient_target_disjoint_subperiods
Traffic,3,SeasonalNaive,SeasonalNaive,0.0087095384456668,0.0041267021070527,numeric_fallback,30,31,129,0.0001,0,1.0,0.0049361429207222,0.0050136384557154,0.5,False,False,0.1,0.0046777403204294,0.0057589140085037,0.37,False,False,487,2,14,15,sufficient
Traffic,6,SeasonalNaive,SeasonalNaive,0.0091526190981043,0.0041697619197606,numeric_fallback,27,28,126,0.0001,0,1.0,0.0061177007741617,0.0066463469374885,0.32,False,False,0.1,0.0080080677102223,0.0076469439861396,0.66,False,False,487,5,11,12,sufficient
Traffic,12,SeasonalNaive,SeasonalNaive,0.0088272427537754,0.0043922342884509,numeric_fallback,21,22,120,0.0001,0,1.0,0.0073499028150153,0.0085620782303098,0.15,False,False,0.1,0.0111921709361077,0.0092398839755443,0.8,False,False,487,11,5,6,sufficient
Agriculture,3,Last,Last,0.0395496174869207,0.0203285908134854,numeric_fallback,24,25,105,1.0,0,10000.0,0.0200449107721417,0.0200462962133971,0.5,True,False,10000.0,0.0199308313928304,0.0201203762949132,0.16,True,False,398,2,11,12,sufficient
Agriculture,6,Last,Last,0.0515766812907995,0.0338542808568977,numeric_fallback,21,22,102,0.0001,0,10000.0,0.0331068417471464,0.0331122514973866,0.5,True,False,10000.0,0.032638787382088,0.033017387508479,0.08,True,False,398,5,8,9,sufficient
Agriculture,12,PatchTST,PatchTST,0.1153738276840786,0.0426845150816808,numeric_fallback,15,16,96,0.0001,0,10000.0,0.0402620473087708,0.041088517357516,0.53,False,False,10000.0,0.0398272994032859,0.0455827400189019,0.58,False,False,398,11,2,3,sufficient
Security,3,PatchTST,AR-Ridge,0.9300807218428664,2.6825062812903093,numeric_fallback,13,14,60,100.0,0,1000.0,3.551907472488656,3.1042952322320443,0.85,False,False,10000.0,3.8271160597934575,3.584950601927332,0.62,False,False,231,2,6,6,sufficient
Security,6,PatchTST,PatchTST,0.6355645565555753,2.765716291325672,numeric_fallback,10,11,57,100.0,0,100.0,3.1973875570234345,3.1179477559049777,0.94,False,False,10000.0,4.034149552026977,3.8059206854887297,0.55,False,False,231,5,3,3,sufficient
Security,12,DLinear-M,DLinear-M,0.7987512566750802,3.4327943327777075,numeric_fallback,4,5,51,100.0,0,100.0,3.3834355333290578,2.956968446002324,1.0,False,False,10000.0,2.495115644611408,2.531676592986744,0.62,False,False,231,11,0,0,insufficient_target_disjoint_subperiods
