dataset,horizon,model,corruption,corruption_seed,mse,mae,rmse,clean_mse,relative_degradation_pct
ETTh1,96,Last,clean,0,0.06926418095827103,0.20328283309936523,0.2631808817386627,0.06926418095827103,0.0
ETTh1,96,ARRidge,clean,0,0.059655238383645365,0.18068636710520736,0.24424421873126365,0.059655238383645365,0.0
ETTh1,96,PatchTST-M_s2026,clean,0,0.05523902177810669,0.17798377573490143,0.23502983152866364,0.05523902177810669,0.0
ETTh1,96,PatchTST-M_s2027,clean,0,0.055617909878492355,0.17844803631305695,0.2358344942331314,0.055617909878492355,0.0
ETTh1,96,PatchTST-M_s2028,clean,0,0.055711790919303894,0.1785486489534378,0.23603345453739166,0.055711790919303894,0.0
ETTh1,96,Last,gaussian_0.10,31,0.08030218631029129,0.22095893323421478,0.28337639570236206,0.06926418095827103,15.936094528671664
ETTh1,96,ARRidge,gaussian_0.10,31,0.06097132109957896,0.18385946418095492,0.24692371514210407,0.059655238383645365,2.2061477777857608
ETTh1,96,PatchTST-M_s2026,gaussian_0.10,31,0.05776866152882576,0.18291543424129486,0.2403511255979538,0.05523902177810669,4.579443424759666
ETTh1,96,PatchTST-M_s2027,gaussian_0.10,31,0.05841674655675888,0.18446622788906097,0.2416955679655075,0.055617909878492355,5.03225792623474
ETTh1,96,PatchTST-M_s2028,gaussian_0.10,31,0.058077894151210785,0.18359005451202393,0.24099355936050415,0.055711790919303894,4.247042130334822
ETTh1,96,Last,gaussian_0.10,37,0.07814162224531174,0.21805591881275177,0.27953824400901794,0.06926418095827103,12.816785190008995
ETTh1,96,ARRidge,gaussian_0.10,37,0.06084534487809267,0.18356991588737998,0.24666849186325496,0.059655238383645365,1.994973998416838
ETTh1,96,PatchTST-M_s2026,gaussian_0.10,37,0.05771862342953682,0.18288865685462952,0.24024701118469238,0.05523902177810669,4.488858729958345
ETTh1,96,PatchTST-M_s2027,gaussian_0.10,37,0.05832141637802124,0.1841820925474167,0.24149827659130096,0.055617909878492355,4.860855982245993
ETTh1,96,PatchTST-M_s2028,gaussian_0.10,37,0.05813135951757431,0.18358567357063293,0.24110445380210876,0.055711790919303894,4.3430099057039095
ETTh1,96,Last,gaussian_0.10,43,0.07789845764636993,0.21808460354804993,0.27910295128822327,0.06926418095827103,12.46571686641429
ETTh1,96,ARRidge,gaussian_0.10,43,0.06072842639283709,0.1835525666312141,0.24643138272719464,0.059655238383645365,1.7989836907364332
ETTh1,96,PatchTST-M_s2026,gaussian_0.10,43,0.057558272033929825,0.1824156492948532,0.23991304636001587,0.05523902177810669,4.198572279464852
ETTh1,96,PatchTST-M_s2027,gaussian_0.10,43,0.058119021356105804,0.18395468592643738,0.24107886850833893,0.055617909878492355,4.49695337900613
ETTh1,96,PatchTST-M_s2028,gaussian_0.10,43,0.05772511661052704,0.18298505246639252,0.240260511636734,0.055711790919303894,3.613823318190157
ETTh1,96,Last,random_missing_0.10,31,0.06925657391548157,0.20333078503608704,0.2631664276123047,0.06926418095827103,-0.010982650316826437
ETTh1,96,ARRidge,random_missing_0.10,31,0.06301652882172301,0.18535112301264794,0.2510309320018611,0.059655238383645365,5.634526873333479
ETTh1,96,PatchTST-M_s2026,random_missing_0.10,31,0.05618656426668167,0.1789822280406952,0.2370370477437973,0.05523902177810669,1.715349870570182
ETTh1,96,PatchTST-M_s2027,random_missing_0.10,31,0.05633337050676346,0.17930461466312408,0.23734651505947113,0.055617909878492355,1.2863853205454134
ETTh1,96,PatchTST-M_s2028,random_missing_0.10,31,0.057213637977838516,0.18028347194194794,0.23919372260570526,0.055711790919303894,2.695743636584913
ETTh1,96,Last,random_missing_0.10,37,0.06914357841014862,0.20317989587783813,0.26295167207717896,0.06926418095827103,-0.17411964806898217
ETTh1,96,ARRidge,random_missing_0.10,37,0.06257042840961233,0.1851415405088753,0.2501408171602794,0.059655238383645365,4.88672932160501
ETTh1,96,PatchTST-M_s2026,random_missing_0.10,37,0.05583669990301132,0.17859120666980743,0.23629790544509888,0.05523902177810669,1.0819853532263668
ETTh1,96,PatchTST-M_s2027,random_missing_0.10,37,0.05603779852390289,0.17896977066993713,0.23672303557395935,0.055617909878492355,0.7549522201173442
ETTh1,96,PatchTST-M_s2028,random_missing_0.10,37,0.05668247118592262,0.17964504659175873,0.23808081448078156,0.055711790919303894,1.7423246508530221
ETTh1,96,Last,random_missing_0.10,43,0.06940596550703049,0.20357680320739746,0.26345011591911316,0.06926418095827103,0.20470111217352205
ETTh1,96,ARRidge,random_missing_0.10,43,0.06284191896248474,0.1853755912550074,0.2506829052059289,0.059655238383645365,5.341828589043085
ETTh1,96,PatchTST-M_s2026,random_missing_0.10,43,0.05611301213502884,0.17901507019996643,0.23688185214996338,0.05523902177810669,1.5821973829169833
ETTh1,96,PatchTST-M_s2027,random_missing_0.10,43,0.05626153200864792,0.17935365438461304,0.23719513416290283,0.055617909878492355,1.1572209951105306
ETTh1,96,PatchTST-M_s2028,random_missing_0.10,43,0.05704095959663391,0.18025584518909454,0.238832488656044,0.055711790919303894,2.385794201545699
ETTh1,96,Last,tail_missing_12,31,0.07841876149177551,0.22011373937129974,0.28003349900245667,0.06926418095827103,13.216904331864932
ETTh1,96,ARRidge,tail_missing_12,31,0.06969325484658269,0.2000353422536833,0.2639948007946041,0.059655238383645365,16.826714191270863
ETTh1,96,PatchTST-M_s2026,tail_missing_12,31,0.066129170358181,0.19879086315631866,0.2571559250354767,0.05523902177810669,19.71459346948552
ETTh1,96,PatchTST-M_s2027,tail_missing_12,31,0.06629867106676102,0.19884158670902252,0.2574852705001831,0.055617909878492355,19.203816201656565
ETTh1,96,PatchTST-M_s2028,tail_missing_12,31,0.0661952793598175,0.19863006472587585,0.2572844326496124,0.055711790919303894,18.817360324493038
ETTh1,96,Last,tail_missing_12,37,0.07841876149177551,0.22011373937129974,0.28003349900245667,0.06926418095827103,13.216904331864932
ETTh1,96,ARRidge,tail_missing_12,37,0.06969325484658269,0.2000353422536833,0.2639948007946041,0.059655238383645365,16.826714191270863
ETTh1,96,PatchTST-M_s2026,tail_missing_12,37,0.066129170358181,0.19879086315631866,0.2571559250354767,0.05523902177810669,19.71459346948552
ETTh1,96,PatchTST-M_s2027,tail_missing_12,37,0.06629867106676102,0.19884158670902252,0.2574852705001831,0.055617909878492355,19.203816201656565
ETTh1,96,PatchTST-M_s2028,tail_missing_12,37,0.0661952793598175,0.19863006472587585,0.2572844326496124,0.055711790919303894,18.817360324493038
ETTh1,96,Last,tail_missing_12,43,0.07841876149177551,0.22011373937129974,0.28003349900245667,0.06926418095827103,13.216904331864932
ETTh1,96,ARRidge,tail_missing_12,43,0.06969325484658269,0.2000353422536833,0.2639948007946041,0.059655238383645365,16.826714191270863
ETTh1,96,PatchTST-M_s2026,tail_missing_12,43,0.066129170358181,0.19879086315631866,0.2571559250354767,0.05523902177810669,19.71459346948552
ETTh1,96,PatchTST-M_s2027,tail_missing_12,43,0.06629867106676102,0.19884158670902252,0.2574852705001831,0.055617909878492355,19.203816201656565
ETTh1,96,PatchTST-M_s2028,tail_missing_12,43,0.0661952793598175,0.19863006472587585,0.2572844326496124,0.055711790919303894,18.817360324493038
ETTh1,96,Last,spikes_0.02,31,0.2645661234855652,0.2642056345939636,0.5143598914146423,0.06926418095827103,281.9667248284593
ETTh1,96,ARRidge,spikes_0.02,31,0.08477442119156219,0.20939328492832834,0.29116047326442196,0.059655238383645365,42.10725409623593
ETTh1,96,PatchTST-M_s2026,spikes_0.02,31,0.10663601756095886,0.23628398776054382,0.3265517055988312,0.05523902177810669,93.0447247768293
ETTh1,96,PatchTST-M_s2027,spikes_0.02,31,0.11004902422428131,0.2377306967973709,0.33173638582229614,0.055617909878492355,97.86616301242499
ETTh1,96,PatchTST-M_s2028,spikes_0.02,31,0.11255344748497009,0.23556265234947205,0.3354898691177368,0.055711790919303894,102.02805479364119
ETTh1,96,Last,spikes_0.02,37,0.25937995314598083,0.26266083121299744,0.5092935562133789,0.06926418095827103,274.4792034749493
ETTh1,96,ARRidge,spikes_0.02,37,0.08380541844565015,0.2083186424071791,0.2894916552262779,0.059655238383645365,40.48291602942553
ETTh1,96,PatchTST-M_s2026,spikes_0.02,37,0.10431491583585739,0.23471207916736603,0.3229781985282898,0.05523902177810669,88.84280075575366
ETTh1,96,PatchTST-M_s2027,spikes_0.02,37,0.10852853208780289,0.23668727278709412,0.32943668961524963,0.055617909878492355,95.13234554283612
ETTh1,96,PatchTST-M_s2028,spikes_0.02,37,0.11094838380813599,0.2344474196434021,0.333089143037796,0.055711790919303894,99.14704226406919
ETTh1,96,Last,spikes_0.02,43,0.24103111028671265,0.25642064213752747,0.49094918370246887,0.06926418095827103,247.98810431603098
ETTh1,96,ARRidge,spikes_0.02,43,0.08381564863054614,0.208753457212622,0.2895093239095179,0.059655238383645365,40.500064875315964
ETTh1,96,PatchTST-M_s2026,spikes_0.02,43,0.10309911519289017,0.2350330650806427,0.3210905194282532,0.05523902177810669,86.64181926869719
