dataset,horizon,model_family,corruption,mse_mean,mse_std,degradation_pct_mean,degradation_pct_std,repeats
ETTh1,96,ARRidge,clean,0.059655238383645365,,0.0,,1
ETTh1,96,ARRidge,gaussian_0.10,0.06084836412350291,0.00012147549762375782,2.000035155646344,0.20362922169977082,3
ETTh1,96,ARRidge,random_missing_0.10,0.06280962539794004,0.00022479668626246098,5.287694927993858,0.37682639840743265,3
ETTh1,96,ARRidge,spikes_0.02,0.08413182942258617,0.0005565243034563403,41.03007833365914,0.9329009799228448,3
ETTh1,96,ARRidge,tail_missing_12,0.06969325484658269,0.0,16.826714191270863,0.0,3
ETTh1,96,Last,clean,0.06926418095827103,,0.0,,1
ETTh1,96,Last,gaussian_0.10,0.07878075540065765,0.0013231954750285793,13.73953219503165,1.9103603864539407,3
ETTh1,96,Last,random_missing_0.10,0.06926870594422023,0.00013161358874945144,0.006532937929237814,0.19001681233875456,3
ETTh1,96,Last,spikes_0.02,0.25499239563941956,0.012365767554930728,268.1446775398132,17.853048117872973,3
ETTh1,96,Last,tail_missing_12,0.07841876149177551,0.0,13.216904331864932,0.0,3
ETTh1,96,PatchTST-M,clean,0.05552290752530098,0.0002502933290181937,0.0,0.0,3
ETTh1,96,PatchTST-M,gaussian_0.10,0.057981901284721166,0.0002989359777830654,4.428979675099846,0.4091708970864806,9
ETTh1,96,PatchTST-M,random_missing_0.10,0.05641178290049235,0.00046789462397116315,1.600217070163384,0.6253856201553762,9
ETTh1,96,PatchTST-M,spikes_0.02,0.1078137316637569,0.003076326861323557,94.16594603487606,4.953042557790198,9
ETTh1,96,PatchTST-M,tail_missing_12,0.06620770692825317,7.398541695090711e-05,19.24525666521171,0.3897545507749315,9
ETTh1,336,ARRidge,clean,0.09709288688026804,,0.0,,1
ETTh1,336,ARRidge,gaussian_0.10,0.09766736507284923,0.000153241253937058,0.5916789695311323,0.15782953711741218,3
ETTh1,336,ARRidge,random_missing_0.10,0.10090572739492183,9.155374272880456e-05,3.927002932105276,0.09429500519612195,3
ETTh1,336,ARRidge,spikes_0.02,0.1094350622730868,0.001142984017513732,12.711719456893638,1.177206749371064,3
ETTh1,336,ARRidge,tail_missing_12,0.10225236107194811,0.0,5.313956930792041,0.0,3
ETTh1,336,Last,clean,0.11327401548624039,,0.0,,1
ETTh1,336,Last,gaussian_0.10,0.12299740066130956,0.0015142707205189631,8.583950284917984,1.336820906382463,3
ETTh1,336,Last,random_missing_0.10,0.11319474627574284,0.00017237418108117755,-0.06998004807834413,0.15217451269934645,3
ETTh1,336,Last,spikes_0.02,0.2874308029810588,0.016069615715747495,153.7482243807041,14.186497800724187,3
ETTh1,336,Last,tail_missing_12,0.11761713027954102,0.0,3.8341668869575685,0.0,3
ETTh1,336,PatchTST-M,clean,0.08509063223997752,0.0009366430230635973,0.0,0.0,3
