domain,horizon,model,mse,mae,rmse,improvement_vs_fallback_pct,loss_difference_vs_fallback,block_ci_low,block_ci_high,test_windows
Climate,4,PatchTST,0.17525894401231565,0.319942028395728,0.41863939615415513,0.0,0.0,0.0,0.0,252
Climate,4,semantic_residual,0.13663943270755297,0.2767053739395452,0.3696477143275107,22.035686408134946,0.03861951130476268,0.007310923926706588,0.0647705083321021,252
Climate,4,frequency_residual,0.13430463973633575,0.2800019296151739,0.36647597429618184,23.3678825961099,0.04095430427597989,0.002495818100848927,0.0719430617377974,252
Climate,4,SafeFAME-TS-v2,0.17525894401231565,0.319942028395728,0.41863939615415513,0.0,0.0,0.0,0.0,252
Climate,12,PatchTST,0.6746050126908859,0.6246215754806052,0.8213434194603898,0.0,0.0,0.0,0.0,244
Climate,12,semantic_residual,0.4371567434316726,0.5079678518388284,0.6611782992746151,35.19811812723894,0.23744826925921328,0.03368244312675962,0.4378310838455156,244
Climate,12,frequency_residual,0.48215070460423115,0.5135650547768065,0.6943707256244542,28.528443232134737,0.19245430808665479,-0.11888174226186152,0.5197518782254072,244
Climate,12,SafeFAME-TS-v2,0.6746050126908859,0.6246215754806052,0.8213434194603898,0.0,0.0,0.0,0.0,244
Climate,24,DLinear-M,0.8810465595586262,0.7241945666993426,0.9386408043328536,0.0,0.0,0.0,0.0,232
Climate,24,semantic_residual,0.7784955815391654,0.6699599678666034,0.8823239663180217,11.63967748433582,0.10255097801946092,-0.193830921748762,0.45584226013842977,232
Climate,24,frequency_residual,0.6914983046622495,0.6172186042351337,0.8315637706527681,21.513988431137378,0.1895482548963768,-0.013602027229067722,0.45121398005258945,232
Climate,24,SafeFAME-TS-v2,0.8810465595586262,0.7241945666993426,0.9386408043328536,0.0,0.0,0.0,0.0,232
Energy,4,PatchTST,0.01873391795611322,0.08986787410296433,0.13687190345762426,0.0,0.0,0.0,0.0,322
Energy,4,semantic_residual,0.01739379851643783,0.08670196690640737,0.13188555082509162,7.153439247544502,0.0013401194396753882,-0.0002981431439033461,0.0033800629931376763,322
Energy,4,frequency_residual,0.021135543408360786,0.0969560985963532,0.14538068444040558,-12.819664620469172,-0.0024016254522475685,-0.005688632522651251,0.0004308688555096003,322
Energy,4,SafeFAME-TS-v2,0.01873391795611322,0.08986787410296433,0.13687190345762426,0.0,0.0,0.0,0.0,322
Energy,12,PatchTST,0.090398393706688,0.2183314619918578,0.3006632563295488,0.0,0.0,0.0,0.0,314
Energy,12,semantic_residual,0.08715624492985144,0.2113839637991508,0.2952223652263687,3.5865114897464023,0.0032421487768365333,-0.0049762529480833605,0.009396045519953385,314
Energy,12,frequency_residual,0.10436150833085035,0.2262501940890835,0.32305031857413535,-15.446197716154009,-0.013963114624162358,-0.06451060488547158,0.018664269160889625,314
Energy,12,SafeFAME-TS-v2,0.090398393706688,0.2183314619918578,0.3006632563295488,0.0,0.0,0.0,0.0,314
Energy,24,PatchTST,0.18262115005293084,0.318142962224449,0.42734195915324164,0.0,0.0,0.0,0.0,302
Energy,24,semantic_residual,0.17977602604831347,0.3130794578369613,0.42400003071734965,1.5579378422448498,0.002845124004617357,-0.012579153198118179,0.013869402524553714,302
Energy,24,frequency_residual,0.21054695060318157,0.32231553177986483,0.4588539534570685,-15.29165736945406,-0.027925800550250752,-0.10324888166433811,0.018097070826099744,302
Energy,24,SafeFAME-TS-v2,0.18262115005293084,0.318142962224449,0.42734195915324164,0.0,0.0,0.0,0.0,302
Economy,3,AR-Ridge,0.11897089678670199,0.2806938024800546,0.34492158063348544,0.0,0.0,0.0,0.0,88
Economy,3,semantic_residual,0.18081564102963832,0.326227385969635,0.4252242244153528,-51.983086547473214,-0.06184474424293635,-0.14196211150862892,-0.011386358204274213,88
