domain,horizon,numeric_fallback,numeric_calibration_mse,numeric_decision_mse,selected_path,calibration_windows,decision_windows,test_windows,ridge_alpha,rows_reordered,semantic_residual_alpha,semantic_residual_decision_mse,semantic_residual_permutation_mean_mse,semantic_residual_permutation_p_value,semantic_residual_segment_wins,semantic_residual_eligible,frequency_residual_alpha,frequency_residual_decision_mse,frequency_residual_permutation_mean_mse,frequency_residual_permutation_p_value,frequency_residual_segment_wins,frequency_residual_eligible
Climate,4,PatchTST,0.2750344835132951,0.11779896119773609,numeric_fallback,62,62,252,0.0001,1272,1000.0,0.121465994568355,0.1280293690556908,0.26,False,False,1000.0,0.12939986416026644,0.12684565696113856,0.75,False,False
Climate,12,PatchTST,0.7018068877745386,0.45945303877932153,numeric_fallback,58,58,244,0.0001,1272,1000.0,0.5308303975330884,0.5971707518216577,0.05,False,False,1000.0,0.6560160453566231,0.5859022107242241,0.94,False,False
Climate,24,DLinear-M,0.9971300646203175,1.7002474466101494,numeric_fallback,52,52,232,0.0001,1272,10000.0,1.2908440840510043,1.3269007196779437,0.2,False,False,10000.0,1.3185194018158182,1.371501452076854,0.22,False,False
Energy,4,PatchTST,0.010660812590614887,0.008172092891666606,numeric_fallback,79,80,322,0.1,0,1.0,0.009075633750190987,0.008292034040335489,0.76,False,False,10000.0,0.00674528251422465,0.009125367120699546,0.03,True,False
Energy,12,PatchTST,0.03243184924412497,0.01912947020078741,numeric_fallback,75,76,314,1.0,0,100.0,0.029117480732938916,0.016783542327640028,1.0,False,False,100.0,0.08809258720496213,0.02342075844610918,1.0,False,False
Energy,24,PatchTST,0.08042225165302655,0.027736933658119786,numeric_fallback,69,70,302,0.1,0,100.0,0.06479317341469938,0.022924735098737516,1.0,False,False,100.0,0.1591800302826261,0.06347170698095261,0.94,False,False
Economy,3,AR-Ridge,0.04029400737372423,0.038946893141695076,numeric_fallback,21,22,88,0.1,447,0.1,0.05448607361057582,0.042341695635276747,1.0,False,False,10000.0,0.10214467069931425,0.09956766106582766,0.59,False,False
Economy,6,AR-Ridge,0.04083101210706972,0.04447997706976393,numeric_fallback,20,20,85,1.0,447,1.0,0.04839590835919963,0.052276395067442145,0.14,False,False,1000.0,0.14479303421105322,0.14671744819531726,0.29,False,False
Economy,12,AR-Ridge,0.03945259049946172,0.03868823534046584,numeric_fallback,17,17,79,1.0,447,1.0,0.04103512462532379,0.0471630286613122,0.03,False,False,1000.0,0.15655800459139746,0.15327227091071816,0.87,False,False
Traffic,3,SeasonalNaive,0.008492894595174166,0.004077485651177117,numeric_fallback,31,32,129,0.0001,0,1.0,0.004784711318882118,0.0048818507942373565,0.48,False,False,0.1,0.004685774851787571,0.005370996728873009,0.45,False,False
Traffic,6,SeasonalNaive,0.008483726621496839,0.004080222405654635,numeric_fallback,30,30,126,0.0001,0,1.0,0.005787266406618162,0.006152174016949625,0.34,False,False,0.1,0.007621645366042554,0.006954120054782519,0.71,False,False
Traffic,12,SeasonalNaive,0.007852004192645808,0.0040830615413942435,numeric_fallback,27,27,120,0.0001,0,1.0,0.007096576743690157,0.007961730586552158,0.23,False,False,0.1,0.010009129781290385,0.008496815598368004,0.8,False,False
Agriculture,3,Last,0.039651032650627,0.020120824070186904,numeric_fallback,25,26,105,1.0,0,10000.0,0.019913529623670632,0.01991160254886829,0.55,True,False,10000.0,0.019825685522164547,0.020042537685039566,0.26,True,False
Agriculture,6,Last,0.05420263215197241,0.03334916427125679,numeric_fallback,24,24,102,0.0001,0,10000.0,0.03269580431357171,0.03269405055433149,0.53,True,False,10000.0,0.03225991767935967,0.03259716236993237,0.05,True,False
Agriculture,12,PatchTST,0.09761928092417596,0.05912661797643047,numeric_fallback,21,21,96,0.0001,0,10000.0,0.052024472390755215,0.05197967127620787,0.57,False,False,10000.0,0.05123930910997558,0.051996658733819916,0.5,False,False
Security,3,PatchTST,1.0547016220657761,2.318441257926899,numeric_fallback,14,15,60,100.0,0,1000.0,3.503592622961022,3.119340016037425,0.68,False,False,10000.0,3.8413909204483585,3.5195697703430153,0.6,False,False
Security,6,PatchTST,1.0847400651412256,2.798206888790947,numeric_fallback,13,13,57,100.0,0,100.0,3.1155413953453555,3.0521602587995527,0.91,False,False,10000.0,4.006008365827327,3.666232262928034,0.61,False,False
Security,12,DLinear-M,1.7062993037372427,3.8375959240942388,numeric_fallback,10,10,51,100.0,0,100.0,3.7848708270405655,3.656246350031959,0.95,True,False,10000.0,3.7321753663598787,3.596999017267568,0.71,False,False
