domain,task_folds,selected,selected_positive,selected_negative,semantic_median_gain,frequency_median_gain,selected_mean_gain,selected_median_gain,median_decision_blocks,min_decision_blocks,mean_text_coverage_pct
Agriculture,12,2,2,0,-0.9065821284748643,15.44611437479395,6.345006929974768,0.0,8.0,7,100.0
Climate,12,4,3,1,1.1090192604281124,1.6801179003175293,0.7979170287510663,0.0,10.0,9,100.0
Economy,12,0,0,0,-41.96543906945812,-139.48878290816174,0.0,0.0,7.0,6,100.0
Energy,12,0,0,0,2.5222261365906,-14.179765526006152,0.0,0.0,13.0,12,100.0
Environment,12,4,3,1,1.5695818838872,-0.5594949942796856,0.5330021413858809,0.0,341.0,113,100.0
Health_AFR,12,0,0,0,13.109552168759032,-197.0798223196149,0.0,0.0,11.5,11,100.0
Health_US,12,0,0,0,12.670701281512375,-5.655599920323903,0.0,0.0,10.5,9,100.0
Security,12,0,0,0,-29.358964083307026,-25.87719414396873,0.0,0.0,4.5,4,100.0
SocialGood,12,0,0,0,-15.805441573138623,-79.64425346610557,0.0,0.0,14.5,14,100.0
Traffic,12,0,0,0,5.48273485316576,-33.79872706620259,0.0,0.0,10.0,9,100.0
