domain,horizon,fold,fallback,selected,fallback_mse,selected_mse,selected_gain_pct,selected_delta,selected_ci_low,selected_ci_high,cal_windows,decision_windows,test_windows,block_length,decision_blocks,segment1_windows,segment2_windows,text_coverage_pct,train_text_coverage_pct,seconds
Agriculture,12,1,AR-Ridge,frequency_residual,0.22833787654768456,0.1074424180670269,52.94586264377854,0.12089545848065766,0.08487745365573222,0.21759801497826825,43,95,42,12,7,42,42,100.0,100.0,11.21063120000008
Agriculture,12,2,Last,numeric_fallback,0.030776632730192804,0.030776632730192804,0.0,0.0,0.0,0.0,42,95,42,12,7,42,42,100.0,100.0,11.700558099999853
Agriculture,12,3,PatchTST,numeric_fallback,0.5310685856989389,0.5310685856989389,0.0,0.0,0.0,0.0,42,95,43,12,7,42,42,100.0,100.0,17.042161399999713
Agriculture,1,1,PatchTST,numeric_fallback,0.03923791529159634,0.03923791529159634,0.0,0.0,0.0,0.0,54,106,53,12,8,53,53,100.0,100.0,9.690538600000309
Agriculture,1,2,Last,numeric_fallback,0.015520133187719169,0.015520133187719169,0.0,0.0,0.0,0.0,53,106,53,12,8,53,53,100.0,100.0,12.732961499999874
Agriculture,1,3,PatchTST,numeric_fallback,0.03672008777901058,0.03672008777901058,0.0,0.0,0.0,0.0,53,106,54,12,8,53,53,100.0,100.0,16.84241189999966
Agriculture,3,1,AR-Ridge,numeric_fallback,0.06760638778669646,0.06760638778669646,0.0,0.0,0.0,0.0,52,104,51,12,8,51,51,100.0,100.0,8.879013700000087
Agriculture,3,2,Last,numeric_fallback,0.018856737567391712,0.018856737567391712,0.0,0.0,0.0,0.0,51,104,51,12,8,51,51,100.0,100.0,11.149055099999714
Agriculture,3,3,PatchTST,numeric_fallback,0.09679621551783094,0.09679621551783094,0.0,0.0,0.0,0.0,51,104,52,12,8,51,51,100.0,100.0,17.330318199999965
Agriculture,6,1,AR-Ridge,semantic_residual,0.11615554010791265,0.08921416799382703,23.194220515918673,0.026941372114085593,0.007775691820061184,0.0510760110713877,49,101,48,12,8,48,48,100.0,100.0,9.228598000000147
Agriculture,6,2,AR-Ridge,numeric_fallback,0.036078670628703985,0.036078670628703985,0.0,0.0,0.0,0.0,48,101,48,12,8,48,48,100.0,100.0,12.966189100000065
Agriculture,6,3,PatchTST,numeric_fallback,0.2300723997196257,0.2300723997196257,0.0,0.0,0.0,0.0,48,101,49,12,8,48,48,100.0,100.0,16.548082400000112
Climate,12,1,PatchTST,numeric_fallback,0.9643071604704605,0.9643071604704605,0.0,0.0,0.0,0.0,117,243,116,24,10,116,116,100.0,100.0,28.400289399999565
Climate,12,2,AR-Ridge,numeric_fallback,0.5865126082577402,0.5865126082577402,0.0,0.0,0.0,0.0,116,243,116,24,10,116,116,100.0,100.0,20.753524499999912
Climate,12,3,AR-Ridge,semantic_residual,0.40494518799966206,0.39962234976974886,1.3144589410252872,0.005322838229913136,-0.013554963557546791,0.017273091157209132,116,243,117,24,10,116,116,100.0,100.0,31.60942520000026
Climate,1,1,Last,numeric_fallback,0.0875979912151476,0.0875979912151476,0.0,0.0,0.0,0.0,128,254,127,24,10,127,127,100.0,100.0,20.982307199999923
Climate,1,2,Last,numeric_fallback,0.04902860144062641,0.04902860144062641,0.0,0.0,0.0,0.0,127,254,127,24,10,127,127,100.0,100.0,24.63495809999995
Climate,1,3,AR-Ridge,numeric_fallback,0.03293121590010875,0.03293121590010875,0.0,0.0,0.0,0.0,127,254,128,24,10,127,127,100.0,100.0,29.528702100000373
Climate,24,1,PatchTST,numeric_fallback,1.7371988755012904,1.7371988755012904,0.0,0.0,0.0,0.0,105,231,104,24,9,104,104,100.0,100.0,25.25623850000011
Climate,24,2,AR-Ridge,semantic_residual,1.1907212867092019,1.0839273028626888,8.968848129158735,0.10679398384651297,-0.07374882014985132,0.3419773505282917,104,231,104,24,9,104,104,100.0,100.0,19.71149779999996
Climate,24,3,AR-Ridge,semantic_residual,0.6751179946341801,0.659564615750888,2.303801558677143,0.015553378883292036,-0.09945522480976798,0.12358694991352173,104,231,105,24,9,104,104,100.0,100.0,23.11984769999981
Climate,4,1,Last,numeric_fallback,0.31567594799050946,0.31567594799050946,0.0,0.0,0.0,0.0,125,251,124,24,10,124,124,100.0,100.0,18.580964900000254
Climate,4,2,Last,numeric_fallback,0.1446225319899576,0.1446225319899576,0.0,0.0,0.0,0.0,124,251,124,24,10,124,124,100.0,100.0,24.180352299999868
Climate,4,3,AR-Ridge,semantic_residual,0.13712896313046977,0.1412594305033195,-3.0121042838483714,-0.0041304673728497126,-0.010268241409367197,0.00023166309217878013,124,251,125,24,10,124,124,100.0,100.0,30.749861899999814
Economy,12,1,AR-Ridge,numeric_fallback,0.2247609945165129,0.2247609945165129,0.0,0.0,0.0,0.0,34,78,34,12,6,33,34,100.0,100.0,12.005612500000097
Economy,12,2,PatchTST,numeric_fallback,0.19103458884362373,0.19103458884362373,0.0,0.0,0.0,0.0,34,78,34,12,6,33,34,100.0,100.0,14.896542000000409
Economy,12,3,AR-Ridge,numeric_fallback,0.36977470286994435,0.36977470286994435,0.0,0.0,0.0,0.0,33,79,34,12,6,34,34,100.0,100.0,8.438754499999959
Economy,1,1,PatchTST,numeric_fallback,0.22711366674202707,0.22711366674202707,0.0,0.0,0.0,0.0,45,89,45,12,7,44,45,100.0,100.0,19.599340599999778
Economy,1,2,AR-Ridge,numeric_fallback,0.15520517160725644,0.15520517160725644,0.0,0.0,0.0,0.0,45,89,45,12,7,44,45,100.0,100.0,13.504723600000034
Economy,1,3,PatchTST,numeric_fallback,0.12969457100619294,0.12969457100619294,0.0,0.0,0.0,0.0,44,90,45,12,7,45,45,100.0,100.0,14.636527199999364
Economy,3,1,AR-Ridge,numeric_fallback,0.3743492806241007,0.3743492806241007,0.0,0.0,0.0,0.0,43,87,43,12,7,42,43,100.0,100.0,12.600490200000422
Economy,3,2,PatchTST,numeric_fallback,0.17104803294836124,0.17104803294836124,0.0,0.0,0.0,0.0,43,87,43,12,7,42,43,100.0,100.0,20.096889200000078
Economy,3,3,AR-Ridge,numeric_fallback,0.14688186322441785,0.14688186322441785,0.0,0.0,0.0,0.0,42,88,43,12,7,43,43,100.0,100.0,9.851623700000346
Economy,6,1,AR-Ridge,numeric_fallback,0.3733829045368778,0.3733829045368778,0.0,0.0,0.0,0.0,40,84,40,12,7,39,40,100.0,100.0,13.04882009999983
Economy,6,2,PatchTST,numeric_fallback,0.19252565444271993,0.19252565444271993,0.0,0.0,0.0,0.0,40,84,40,12,7,39,40,100.0,100.0,14.816160999999738
Economy,6,3,PatchTST,numeric_fallback,0.22811298619752673,0.22811298619752673,0.0,0.0,0.0,0.0,39,85,40,12,7,40,40,100.0,100.0,10.050332999999227
Energy,12,1,DLinear-M,numeric_fallback,0.27612837716509314,0.27612837716509314,0.0,0.0,0.0,0.0,152,313,151,24,13,151,151,100.0,100.0,29.17534269999942
Energy,12,2,Last,numeric_fallback,0.07997003828974533,0.07997003828974533,0.0,0.0,0.0,0.0,151,313,151,24,13,151,151,100.0,100.0,33.2116503999996
Energy,12,3,PatchTST,numeric_fallback,0.24880117087866774,0.24880117087866774,0.0,0.0,0.0,0.0,151,313,152,24,13,151,151,100.0,100.0,28.814365700000053
Energy,1,1,AR-Ridge,numeric_fallback,0.021717743467179147,0.021717743467179147,0.0,0.0,0.0,0.0,163,324,162,24,13,162,162,100.0,100.0,28.997508100000232
Energy,1,2,PatchTST,numeric_fallback,0.0023511045107423604,0.0023511045107423604,0.0,0.0,0.0,0.0,162,324,162,24,13,162,162,100.0,100.0,66.90757339999982
Energy,1,3,AR-Ridge,numeric_fallback,0.005930176373876106,0.005930176373876106,0.0,0.0,0.0,0.0,162,324,163,24,13,162,162,100.0,100.0,37.1631069999994
Energy,24,1,PatchTST,numeric_fallback,0.6589603326152127,0.6589603326152127,0.0,0.0,0.0,0.0,140,301,139,24,12,139,139,100.0,100.0,41.22584639999968
Energy,24,2,Last,numeric_fallback,0.14572492295122771,0.14572492295122771,0.0,0.0,0.0,0.0,139,301,139,24,12,139,139,100.0,100.0,37.08432869999979
Energy,24,3,SeasonalNaive,numeric_fallback,1.2245720325403548,1.2245720325403548,0.0,0.0,0.0,0.0,139,301,140,24,12,139,139,100.0,100.0,27.625126799999634
Energy,4,1,AR-Ridge,numeric_fallback,0.0885850401761422,0.0885850401761422,0.0,0.0,0.0,0.0,160,321,159,24,13,159,159,100.0,100.0,30.047139500000412
Energy,4,2,PatchTST,numeric_fallback,0.015567307374337406,0.015567307374337406,0.0,0.0,0.0,0.0,159,321,159,24,13,159,159,100.0,100.0,80.86414229999991
Energy,4,3,AR-Ridge,numeric_fallback,0.03465021077126015,0.03465021077126015,0.0,0.0,0.0,0.0,159,321,160,24,13,159,159,100.0,100.0,49.31528239999989
Environment,14,1,DLinear-M,numeric_fallback,0.2889804878237975,0.2889804878237975,0.0,0.0,0.0,0.0,1585,3183,1585,14,227,1585,1585,100.0,100.0,236.31129959999998
Environment,14,2,DLinear-M,numeric_fallback,0.2611807830452507,0.2611807830452507,0.0,0.0,0.0,0.0,1585,3183,1585,14,227,1585,1585,100.0,100.0,290.2157523999995
Environment,14,3,PatchTST,numeric_fallback,0.2389477101248866,0.2389477101248866,0.0,0.0,0.0,0.0,1585,3183,1585,14,227,1585,1585,100.0,100.0,386.4511975000005
Environment,1,1,DLinear-M,semantic_residual,0.21284686226313942,0.20974702729119704,1.4563686487941263,0.003099834971942389,4.704921522122829e-05,0.006398575669445178,1598,3196,1598,7,456,1598,1598,100.0,100.0,232.94297159999996
Environment,1,2,DLinear-M,semantic_residual,0.19339858380287905,0.19354717767291046,-0.07683296697915676,-0.00014859387003140587,-0.0029545102409934887,0.0027639008442881686,1598,3196,1598,7,456,1598,1598,100.0,100.0,262.70141859999967
Environment,1,3,DLinear-M,semantic_residual,0.17313804122507687,0.17010267264222842,1.7531494299987571,0.0030353685828484155,0.0008621692944717284,0.005311269860683536,1598,3196,1598,7,456,1598,1598,100.0,100.0,272.4786211999999
Environment,28,1,PatchTST,numeric_fallback,0.3022479689958082,0.3022479689958082,0.0,0.0,0.0,0.0,1571,3169,1571,28,113,1571,1571,100.0,100.0,362.5857152000008
Environment,28,2,PatchTST,numeric_fallback,0.26079970932892127,0.26079970932892127,0.0,0.0,0.0,0.0,1571,3169,1571,28,113,1571,1571,100.0,100.0,341.6970054000003
Environment,28,3,PatchTST,numeric_fallback,0.2586772459707398,0.2586772459707398,0.0,0.0,0.0,0.0,1571,3169,1571,28,113,1571,1571,100.0,100.0,386.4134041999996
Environment,7,1,DLinear-M,numeric_fallback,0.28021787891161004,0.28021787891161004,0.0,0.0,0.0,0.0,1592,3190,1592,7,455,1592,1592,100.0,100.0,264.6102288000002
Environment,7,2,DLinear-M,numeric_fallback,0.24929986833779294,0.24929986833779294,0.0,0.0,0.0,0.0,1592,3190,1592,7,455,1592,1592,100.0,100.0,301.3375665000003
Environment,7,3,DLinear-M,semantic_residual,0.2365833209654388,0.22886280143546614,3.263340584816843,0.007720519529972678,0.004136911661021195,0.011198029606120354,1592,3190,1592,7,455,1592,1592,100.0,100.0,349.4449545999996
Health_AFR,12,1,DLinear-M,numeric_fallback,0.0028436918972612572,0.0028436918972612572,0.0,0.0,0.0,0.0,135,280,135,24,11,134,135,100.0,100.0,23.024689500000022
Health_AFR,12,2,PatchTST,numeric_fallback,0.00461584103777992,0.00461584103777992,0.0,0.0,0.0,0.0,134,281,135,24,11,135,135,100.0,100.0,43.05693399999927
Health_AFR,12,3,PatchTST,numeric_fallback,0.0021264002156651425,0.0021264002156651425,0.0,0.0,0.0,0.0,135,281,135,24,11,135,135,100.0,100.0,40.32401219999974
Health_AFR,1,1,PatchTST,numeric_fallback,0.0011875977032037605,0.0011875977032037605,0.0,0.0,0.0,0.0,146,291,146,24,12,145,146,100.0,100.0,45.68457959999978
Health_AFR,1,2,Last,numeric_fallback,0.0008298901255459839,0.0008298901255459839,0.0,0.0,0.0,0.0,145,292,146,24,12,146,146,100.0,100.0,25.65001190000021
Health_AFR,1,3,PatchTST,numeric_fallback,0.0008226765095121363,0.0008226765095121363,0.0,0.0,0.0,0.0,146,292,146,24,12,146,146,100.0,100.0,51.940251899999566
Health_AFR,24,1,DLinear-M,numeric_fallback,0.002803085222023992,0.002803085222023992,0.0,0.0,0.0,0.0,123,268,123,24,11,122,123,100.0,100.0,25.01890000000003
Health_AFR,24,2,PatchTST,numeric_fallback,0.006106488254341297,0.006106488254341297,0.0,0.0,0.0,0.0,122,269,123,24,11,123,123,100.0,100.0,36.4762639999999
Health_AFR,24,3,DLinear-M,numeric_fallback,0.0015517719839551335,0.0015517719839551335,0.0,0.0,0.0,0.0,123,269,123,24,11,123,123,100.0,100.0,27.69144210000013
Health_AFR,4,1,PatchTST,numeric_fallback,0.0016291630796418976,0.0016291630796418976,0.0,0.0,0.0,0.0,143,288,143,24,12,142,143,100.0,100.0,27.210329599999568
Health_AFR,4,2,PatchTST,numeric_fallback,0.002806752021923803,0.002806752021923803,0.0,0.0,0.0,0.0,142,289,143,24,12,143,143,100.0,100.0,35.81834030000027
Health_AFR,4,3,PatchTST,numeric_fallback,0.001549322167017472,0.001549322167017472,0.0,0.0,0.0,0.0,143,289,143,24,12,143,143,100.0,100.0,55.945059599999695
Health_US,12,1,Last,numeric_fallback,1.6633862203362426,1.6633862203362426,0.0,0.0,0.0,0.0,116,253,128,24,10,127,115,100.0,100.0,15.63129839999965
Health_US,12,2,AR-Ridge,numeric_fallback,0.7801567042303356,0.7801567042303356,0.0,0.0,0.0,0.0,127,254,115,24,10,115,128,100.0,100.0,24.51264749999973
Health_US,12,3,DLinear-M,numeric_fallback,1.2558375009176084,1.2558375009176084,0.0,0.0,0.0,0.0,115,254,128,24,10,127,116,100.0,100.0,22.505760799999734
Health_US,1,1,Last,numeric_fallback,0.09238920347983014,0.09238920347983014,0.0,0.0,0.0,0.0,138,275,139,24,11,138,137,100.0,100.0,27.16926059999969
Health_US,1,2,AR-Ridge,numeric_fallback,0.08031141747231393,0.08031141747231393,0.0,0.0,0.0,0.0,138,276,137,24,11,137,139,100.0,100.0,28.02197690000048
Health_US,1,3,DLinear-M,numeric_fallback,1.742341237026865,1.742341237026865,0.0,0.0,0.0,0.0,137,276,139,24,11,138,138,100.0,100.0,47.23994369999946
Health_US,24,1,DLinear-M,numeric_fallback,0.8393994204875525,0.8393994204875525,0.0,0.0,0.0,0.0,92,229,116,24,9,115,91,100.0,100.0,16.424876900000527
Health_US,24,2,DLinear-M,numeric_fallback,0.8268097220697239,0.8268097220697239,0.0,0.0,0.0,0.0,115,230,91,24,9,91,116,100.0,100.0,28.012793000000784
Health_US,24,3,AR-Ridge,numeric_fallback,1.100605828135428,1.100605828135428,0.0,0.0,0.0,0.0,91,230,116,24,9,115,92,100.0,100.0,24.698184899999433
Health_US,4,1,Last,numeric_fallback,0.4424873832263147,0.4424873832263147,0.0,0.0,0.0,0.0,132,269,136,24,11,135,131,100.0,100.0,32.19103389999964
Health_US,4,2,PatchTST,numeric_fallback,0.29680399029387344,0.29680399029387344,0.0,0.0,0.0,0.0,135,270,131,24,11,131,136,100.0,100.0,41.78832239999974
Health_US,4,3,DLinear-M,numeric_fallback,2.7073137475567437,2.7073137475567437,0.0,0.0,0.0,0.0,131,270,136,24,11,135,132,100.0,100.0,35.45924659999946
Security,12,1,DLinear-M,numeric_fallback,4.1799207475925,4.1799207475925,0.0,0.0,0.0,0.0,20,51,20,12,4,20,20,100.0,100.0,5.9978745999997045
Security,12,2,AR-Ridge,numeric_fallback,238.49674117211435,238.49674117211435,0.0,0.0,0.0,0.0,20,51,20,12,4,20,20,100.0,100.0,7.573691300000064
Security,12,3,DLinear-M,numeric_fallback,15.546573436095247,15.546573436095247,0.0,0.0,0.0,0.0,20,51,20,12,4,20,20,100.0,100.0,6.450053600000501
Security,1,1,PatchTST,numeric_fallback,2.4194625247056867,2.4194625247056867,0.0,0.0,0.0,0.0,31,62,31,12,5,31,31,100.0,100.0,7.740783200000806
Security,1,2,AR-Ridge,numeric_fallback,152.14557473640582,152.14557473640582,0.0,0.0,0.0,0.0,31,62,31,12,5,31,31,100.0,100.0,7.369113099999595
Security,1,3,DLinear-M,numeric_fallback,14.494106285415846,14.494106285415846,0.0,0.0,0.0,0.0,31,62,31,12,5,31,31,100.0,100.0,6.027719300000172
Security,3,1,DLinear-M,numeric_fallback,3.0726129039210957,3.0726129039210957,0.0,0.0,0.0,0.0,29,60,29,12,5,29,29,100.0,100.0,5.49781510000048
Security,3,2,DLinear-M,numeric_fallback,150.86141721759492,150.86141721759492,0.0,0.0,0.0,0.0,29,60,29,12,5,29,29,100.0,100.0,7.968833099999756
Security,3,3,DLinear-M,numeric_fallback,13.051323574102666,13.051323574102666,0.0,0.0,0.0,0.0,29,60,29,12,5,29,29,100.0,100.0,6.2317910000001575
Security,6,1,DLinear-M,numeric_fallback,3.405115102829866,3.405115102829866,0.0,0.0,0.0,0.0,26,57,26,12,4,26,26,100.0,100.0,5.892188099999657
Security,6,2,AR-Ridge,numeric_fallback,177.06944166406328,177.06944166406328,0.0,0.0,0.0,0.0,26,57,26,12,4,26,26,100.0,100.0,7.0139948999994886
Security,6,3,DLinear-M,numeric_fallback,13.948306390391986,13.948306390391986,0.0,0.0,0.0,0.0,26,57,26,12,4,26,26,100.0,100.0,6.264880400000038
SocialGood,12,1,PatchTST,numeric_fallback,0.08932507797645775,0.08932507797645775,0.0,0.0,0.0,0.0,81,172,80,12,14,80,81,100.0,0.0,32.84021120000034
SocialGood,12,2,AR-Ridge,numeric_fallback,0.09795197788371514,0.09795197788371514,0.0,0.0,0.0,0.0,80,172,81,12,14,80,81,100.0,14.657210401891252,22.36782299999959
SocialGood,12,3,PatchTST,numeric_fallback,2.669968086264897,2.669968086264897,0.0,0.0,0.0,0.0,81,172,81,12,14,80,81,100.0,29.766536964980546,25.670544200000222
SocialGood,1,1,PatchTST,numeric_fallback,0.01407802603259998,0.01407802603259998,0.0,0.0,0.0,0.0,92,183,91,12,15,91,92,100.0,0.0,33.9252005999997
SocialGood,1,2,PatchTST,numeric_fallback,0.02133977929661616,0.02133977929661616,0.0,0.0,0.0,0.0,91,183,92,12,15,91,92,100.0,16.82027649769585,38.968927599999915
SocialGood,1,3,PatchTST,numeric_fallback,0.7071679202299394,0.7071679202299394,0.0,0.0,0.0,0.0,92,183,92,12,15,91,92,100.0,31.238095238095237,42.79731090000041
