domain,horizon,model,mse_mean,mse_std,mae_mean,improvement_vs_best_simple_pct
Climate,4,Last,0.1329716916014283,0.0,0.2744020805575774,0.0
Climate,12,Last,0.4297193065972824,0.0,0.4919209234001258,0.0
Climate,24,ARRidge,0.8719177844350345,0.0,0.7136630633803566,2.4984974204965353
Economy,3,DLinear-M,0.1043770437439282,0.0013741235741,0.2461272925138473,49.75567439360667
Economy,6,DLinear-M,0.1343697359164556,0.0063089871143376,0.2804873784383138,48.06108540770643
Economy,12,DLinear-M,0.1790212243795395,0.0065714002245604,0.3236431976159413,34.376623642763946
Energy,4,ARRidge,0.0166367523792412,0.0,0.0846297725645454,23.039774422009078
Energy,12,Last,0.083753807611207,0.0,0.1964007940267516,0.0
Energy,24,ARRidge,0.162511059231131,0.0,0.291019811989128,5.285082402983747
Traffic,3,PatchTST,0.0791782612601916,0.000582445777904,0.1257909586032231,35.561877664753254
Traffic,6,DLinear-M,0.0922553613781929,0.0026435216593238,0.1451784670352935,26.592154420284068
Traffic,12,DLinear-M,0.1029484346508979,0.001850515348124,0.1637560625871022,21.765504992893895
