domain,horizon,best_numeric_model,best_numeric_mse,aligned_semantic_mse,shuffled_semantic_mse,selective_mse,mse_ci_low,mse_ci_high,selected_variant,selected_gate_fraction,semantic_improvement_vs_best_numeric_pct,alignment_gain_vs_shuffle_pct,aligned_beats_shuffled
Climate,4,Last,0.1329716916014283,0.1651902604138849,0.147483510672496,0.1449781401098953,0.1213411432754701,0.1708415205023917,numeric,0.0,-24.229644990175146,-12.005918262082037,False
Climate,12,Last,0.4297193065972824,0.5383911578157358,0.5265667257987604,0.4807578901111714,0.4179713032027971,0.541810446969003,numeric,0.0,-25.289031595756704,-2.2455714418792017,False
Climate,24,ARRidge,0.8719177844350345,1.0460944779113626,0.9248071689548574,0.8719174850517502,0.7683357848072089,0.9821842789744504,numeric,0.0,-19.97627489490734,-13.114875514381485,False
Economy,3,DLinear-M,0.1043770437439282,0.1324532380649865,0.1148970911139509,0.1170992814245448,0.094819098131403,0.1419097092779403,no_frequency,0.7689393939393939,-26.898821152607646,-15.279888098841443,False
Economy,6,DLinear-M,0.1343697359164556,0.2259566047262535,0.1410768615948555,0.1610139248936702,0.1324686887033547,0.1917649199575776,no_frequency,0.7470588235294118,-68.1603399643072,-60.165602049722125,False
Economy,12,DLinear-M,0.1790212243795395,0.4076270111131506,0.2015908000987229,0.2170149164957241,0.1815124503974489,0.2530065084190933,no_frequency,0.5748945147679325,-127.6975886663295,-102.2051655698215,False
Energy,4,ARRidge,0.0166367523792412,0.0186491804972522,0.0184261940543271,0.0179530187182693,0.0137129132805265,0.0228274849229893,numeric,0.0,-12.096279803515287,-1.2101600703197546,False
Energy,12,Last,0.083753807611207,0.0925975135358037,0.0886895674278973,0.0863222749253969,0.073419498423783,0.0992589085238884,numeric,0.0,-10.55916880298744,-4.406319955369575,False
Energy,24,ARRidge,0.162511059231131,0.1919553766477326,0.178993319783902,0.1627765261967942,0.1400455412777821,0.187632929501557,numeric,0.0,-18.118346871842416,-7.241642805150295,False
Traffic,3,PatchTST,0.0791782612601916,0.0801798693191422,0.0842612340341953,0.0911808782867146,0.0357324503970107,0.1580280704753298,full,0.6201550387596899,-1.2650038571308864,4.843703942665711,True
Traffic,6,DLinear-M,0.0922553613781929,0.0855354656967164,0.0948611039113596,0.1024696972656607,0.0540349268462011,0.1569367528558221,numeric,0.0,7.28401643122818,9.83083458880818,True
Traffic,12,DLinear-M,0.1029484346508979,0.0980004211020431,0.1084820722609775,0.1175366948188978,0.0798139379733987,0.1591556490803584,numeric,0.0,4.806302850192623,9.662104475399847,True
