dataset,horizon,model_family,corruption,mse_mean,mse_std,degradation_pct_mean,degradation_pct_std,repeats
ETTh1,96,ARRidge,clean,0.0596552383836453,,0.0,,1
ETTh1,96,ARRidge,gaussian_0.10,0.0608483641235029,0.0001214754976237,2.000035155646344,0.2036292216997708,3
ETTh1,96,ARRidge,random_missing_0.10,0.06280962539794,0.0002247966862624,5.287694927993858,0.3768263984074326,3
ETTh1,96,ARRidge,spikes_0.02,0.0841318294225861,0.0005565243034563,41.03007833365914,0.9329009799228448,3
ETTh1,96,ARRidge,tail_missing_12,0.0696932548465826,0.0,16.826714191270863,0.0,3
ETTh1,96,Last,clean,0.069264180958271,,0.0,,1
ETTh1,96,Last,gaussian_0.10,0.0787807554006576,0.0013231954750285,13.73953219503165,1.910360386453941,3
ETTh1,96,Last,random_missing_0.10,0.0692687059442202,0.0001316135887494,0.0065329379292378,0.1900168123387545,3
ETTh1,96,Last,spikes_0.02,0.2549923956394195,0.0123657675549307,268.1446775398132,17.853048117872973,3
ETTh1,96,Last,tail_missing_12,0.0784187614917755,0.0,13.216904331864932,0.0,3
ETTh1,96,PatchTST-M,clean,0.0555229075253009,0.0002502933290181,0.0,0.0,3
ETTh1,96,PatchTST-M,gaussian_0.10,0.0579819016986423,0.0002989355676697,4.428980424427278,0.4091710204583163,9
ETTh1,96,PatchTST-M,random_missing_0.10,0.0564117833144134,0.0004678942279785,1.600217819490816,0.6253853611091477,9
ETTh1,96,PatchTST-M,spikes_0.02,0.1078137316637569,0.0030763268613235,94.16594603487606,4.953042557790198,9
ETTh1,96,PatchTST-M,tail_missing_12,0.06620770941178,7.398245114885991e-05,19.24526116117632,0.3897606415083327,9
ETTh1,336,ARRidge,clean,0.097092886880268,,0.0,,1
ETTh1,336,ARRidge,gaussian_0.10,0.0976673650728492,0.000153241253937,0.5916789695311323,0.1578295371174121,3
ETTh1,336,ARRidge,random_missing_0.10,0.1009057273949218,9.155374272880456e-05,3.927002932105276,0.0942950051961219,3
ETTh1,336,ARRidge,spikes_0.02,0.1094350622730868,0.0011429840175137,12.711719456893638,1.177206749371064,3
ETTh1,336,ARRidge,tail_missing_12,0.1022523610719481,0.0,5.313956930792041,0.0,3
ETTh1,336,Last,clean,0.1132740154862403,,0.0,,1
ETTh1,336,Last,gaussian_0.10,0.1229974006613095,0.0015142707205189,8.583950284917984,1.336820906382463,3
ETTh1,336,Last,random_missing_0.10,0.1131947462757428,0.0001723741810811,-0.0699800480783441,0.1521745126993464,3
ETTh1,336,Last,spikes_0.02,0.2874308029810588,0.0160696157157474,153.7482243807041,14.186497800724188,3
ETTh1,336,Last,tail_missing_12,0.117617130279541,0.0,3.834166886957569,0.0,3
ETTh1,336,PatchTST-M,clean,0.0850906297564506,0.000936650408377,0.0,0.0,3
ETTh1,336,PatchTST-M,gaussian_0.10,0.0887646087341838,0.0011462602224748,4.3179094115028365,0.937798515948813,9
ETTh1,336,PatchTST-M,random_missing_0.10,0.0874542693297068,0.0008100034970554,2.778314821155208,0.2570482999079734,9
ETTh1,336,PatchTST-M,spikes_0.02,0.1616107738680309,0.0142830175631789,89.92951424465679,16.719320739105186,9
ETTh1,336,PatchTST-M,tail_missing_12,0.0917545358339945,0.0008460358311853,7.832447142765476,0.3951636625673044,9
ETTh1,720,ARRidge,clean,0.154455245685914,,0.0,,1
ETTh1,720,ARRidge,gaussian_0.10,0.1549026708311642,0.0002106734237933,0.2896794752831259,0.1363977136922785,3
ETTh1,720,ARRidge,random_missing_0.10,0.1584537752485811,0.0001501890119186,2.5887949256175657,0.0972378835381583,3
ETTh1,720,ARRidge,spikes_0.02,0.164861837423954,0.0005365086215243,6.737609779341436,0.3473553903214932,3
ETTh1,720,ARRidge,tail_missing_12,0.1583108380959699,0.0,2.496252162193513,0.0,3
ETTh1,720,Last,clean,0.1291794776916504,,0.0,,1
ETTh1,720,Last,gaussian_0.10,0.1394393146038055,0.0015802257990991,7.942311809500609,1.22327929121309,3
ETTh1,720,Last,random_missing_0.10,0.1290780454874038,0.0001925894529882,-0.0785203703088543,0.1490867252521134,3
ETTh1,720,Last,spikes_0.02,0.3013359407583872,0.021257295561393,133.26920509593012,16.45562897547393,3
ETTh1,720,Last,tail_missing_12,0.1318886578083038,0.0,2.097221760812662,0.0,3
ETTh1,720,PatchTST-M,clean,0.0905016337831815,0.0013668774288076,0.0,0.0,3
ETTh1,720,PatchTST-M,gaussian_0.10,0.0937090218067169,0.0010443062818335,3.550430730743693,0.9999044350666322,9
ETTh1,720,PatchTST-M,random_missing_0.10,0.0938493137558301,0.0004422073653257,3.7116547738408503,1.162715926116027,9
ETTh1,720,PatchTST-M,spikes_0.02,0.1909316579500834,0.0083363583802598,110.9911858850388,9.362505284941802,9
ETTh1,720,PatchTST-M,tail_missing_12,0.0990815783540407,0.0020331630339168,9.47116636685857,0.8340025525541125,9
ETTh2,96,ARRidge,clean,0.1287497383696405,,0.0,,1
ETTh2,96,ARRidge,gaussian_0.10,0.1348694774599832,0.0003317847594021,4.753205068869996,0.2576974241684444,3
ETTh2,96,ARRidge,random_missing_0.10,0.1351446479476083,0.0002967320917194,4.966930153759168,0.2304719958867561,3
