domain,horizon,numeric_fallback,calibration_windows,decision_windows,test_windows,selected_path,semantic_residual_decision_mse,semantic_residual_permutation_p_value,semantic_residual_segment_wins,frequency_residual_decision_mse,frequency_residual_permutation_p_value,frequency_residual_segment_wins
Climate,4,PatchTST,62,62,252,numeric_fallback,0.121465994568355,0.26,False,0.1293998641602664,0.75,False
Climate,12,PatchTST,58,58,244,numeric_fallback,0.5308303975330884,0.05,False,0.6560160453566231,0.94,False
Climate,24,DLinear-M,52,52,232,numeric_fallback,1.2908440840510045,0.2,False,1.3185194018158182,0.22,False
Energy,4,PatchTST,79,80,322,numeric_fallback,0.0090756337501909,0.76,False,0.0067452825142246,0.03,True
Energy,12,PatchTST,75,76,314,numeric_fallback,0.0291174807329389,1.0,False,0.0880925872049621,1.0,False
Energy,24,PatchTST,69,70,302,numeric_fallback,0.0647931734146993,1.0,False,0.1591800302826261,0.94,False
Economy,3,AR-Ridge,21,22,88,numeric_fallback,0.0544860736105758,1.0,False,0.1021446706993142,0.59,False
Economy,6,AR-Ridge,20,20,85,numeric_fallback,0.0483959083591996,0.14,False,0.1447930342110532,0.29,False
Economy,12,AR-Ridge,17,17,79,numeric_fallback,0.0410351246253237,0.03,False,0.1565580045913974,0.87,False
Traffic,3,SeasonalNaive,31,32,129,numeric_fallback,0.0047847113188821,0.48,False,0.0046857748517875,0.45,False
Traffic,6,SeasonalNaive,30,30,126,numeric_fallback,0.0057872664066181,0.34,False,0.0076216453660425,0.71,False
Traffic,12,SeasonalNaive,27,27,120,numeric_fallback,0.0070965767436901,0.23,False,0.0100091297812903,0.8,False
Agriculture,3,Last,25,26,105,numeric_fallback,0.0199135296236706,0.55,True,0.0198256855221645,0.26,True
Agriculture,6,Last,24,24,102,numeric_fallback,0.0326958043135717,0.53,True,0.0322599176793596,0.05,True
Agriculture,12,PatchTST,21,21,96,numeric_fallback,0.0520244723907552,0.57,False,0.0512393091099755,0.5,False
Security,3,PatchTST,14,15,60,numeric_fallback,3.503592622961022,0.68,False,3.8413909204483594,0.6,False
Security,6,PatchTST,13,13,57,numeric_fallback,3.1155413953453555,0.91,False,4.006008365827327,0.61,False
Security,12,DLinear-M,10,10,51,numeric_fallback,3.7848708270405655,0.95,True,3.732175366359879,0.71,False
