domain,column,raw_dtype,raw_missing,nonnumeric_nonmissing,infinite_numeric,used_in_bundle,policy
Agriculture,Date,object,0,532,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Agriculture,Wholesale broiler composite,float64,124,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Agriculture,OT,float64,0,0,0,True,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Agriculture,Retail-wholesale spread for broiler composite,float64,124,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Agriculture,date,object,0,532,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Agriculture,start_date,object,0,532,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Agriculture,end_date,object,0,532,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,MapDate,int64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,AreaOfInterest,object,0,1272,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,OT,float64,0,0,0,True,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,D0,float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,D1,float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,D2,float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,D3,float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,D4,float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,ValidStart,object,0,1272,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,ValidEnd,object,0,1272,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,StatisticFormatID,int64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,date,object,0,1272,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,start_date,object,0,1272,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Climate,end_date,object,0,1272,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Economy,Month,object,0,447,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Economy,Exports,float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Economy,Imports,float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Economy,OT,float64,0,0,0,True,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Economy,start_date,object,0,447,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Economy,date,object,0,447,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Economy,end_date,object,0,447,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Energy,date,object,0,1622,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Energy,OT,float64,0,0,0,True,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Energy,Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
