domain,source,source_file,sha256,raw_rows,retained,original_url_rows,reasons,fields
Agriculture,report,references/external/Time-MMD/textual/Agriculture/Agriculture_report.csv,a66be7954edf9c6f643f6fdc8986914cd9a8f5f2a90498eabe9c7faf3708e2d3,890,714,0,"{'retained': 714, 'duplicate_fact_exact': 117, 'duplicate_fact_later': 59}","['Unnamed: 0', 'start_date', 'end_date', 'fact', 'preds']"
Agriculture,search,references/external/Time-MMD/textual/Agriculture/Agriculture_search.csv,b579660f0d19b34eb25b4e24cf248a4840a99272075278801c0657d6d816443c,1653,1182,0,"{'retained': 1182, 'missing_fact': 441, 'duplicate_fact_later': 30}","['Unnamed: 0', 'start_date', 'end_date', 'fact', 'preds']"
Climate,report,references/external/Time-MMD/textual/Climate/Climate_report.csv,2424b298c79c69365247643b97d7ff95ee0382e07ec5578232edfa3939e49027,590,582,0,"{'retained': 582, 'missing_fact': 8}","['Unnamed: 0', 'start_date', 'end_date', 'fact', 'preds']"
Climate,search,references/external/Time-MMD/textual/Climate/Climate_search.csv,34d290093cc1accedb2b57f8430616bcd4c217629b885a953e1ec3755ae14b77,2261,1660,0,"{'retained': 1660, 'missing_fact': 393, 'duplicate_fact_later': 208}","['Unnamed: 0', 'start_date', 'end_date', 'fact', 'preds']"
Economy,report,references/external/Time-MMD/textual/Economy/Economy_report.csv,5a4893c7f2b03ac5739fd28cd3e97efbde6bb573c131aecbbe161194c79d109b,435,435,0,{'retained': 435},"['Unnamed: 0', 'start_date', 'end_date', 'fact', 'preds']"
Economy,search,references/external/Time-MMD/textual/Economy/Economy_search.csv,bd9bd2cb61bf8d7e391715b52af88d24cae6338e8b35cc4b0ffb311f46c14818,2314,2308,0,"{'retained': 2308, 'duplicate_fact_later': 5, 'missing_fact': 1}","['Unnamed: 0', 'start_date', 'end_date', 'fact', 'preds']"
Energy,report,references/external/Time-MMD/textual/Energy/Energy_report.csv,a8b1609c2feeb420b4c6c594b54e8590c5834d94403e0f65adb1789a1d954195,354,354,0,{'retained': 354},"['Unnamed: 0', 'start_date', 'end_date', 'fact', 'preds']"
Energy,search,references/external/Time-MMD/textual/Energy/Energy_search.csv,548b2089d4350fb830a18c8a5fea750792938f7d86ea48792119344b27ec7922,2314,2274,0,"{'retained': 2274, 'duplicate_fact_later': 25, 'missing_fact': 15}","['Unnamed: 0', 'start_date', 'end_date', 'fact', 'preds']"
Environment,report,references/external/Time-MMD/textual/Environment/Environment_report.csv,000bb19c997acf48318949e08ebfc2b0ed8b233fbc1561fc3cb32b487dc7c12b,156,140,0,"{'retained': 140, 'missing_fact': 16}","['Unnamed: 0', 'start_date', 'end_date', 'fact', 'preds']"
Environment,search,references/external/Time-MMD/textual/Environment/Environment_search.csv,b0bd477011a6662baf08fe7a02d937a21cd421d256fdf8f8b53af0ffad885d1f,2312,2174,0,"{'retained': 2174, 'missing_fact': 80, 'duplicate_fact_later': 58}","['Unnamed: 0', 'start_date', 'end_date', 'fact', 'preds']"
Health_AFR,report,references/external/Time-MMD/textual/Health_AFR/Health_AFR_report.csv,d93997bf842ada5738d796eb149e106605a67e28cd13b1c6ef143800640f9c1c,482,96,0,"{'missing_fact': 374, 'retained': 96, 'duplicate_fact_later': 12}","['Unnamed: 0', 'start_date', 'end_date', 'fact', 'preds']"
Health_AFR,search,references/external/Time-MMD/textual/Health_AFR/Health_AFR_search.csv,579831f882b8a3af3175fb105030d9ce3c26982e5467c066109247dfefbd1511,1911,1793,0,"{'retained': 1793, 'missing_fact': 109, 'duplicate_fact_later': 9}","['Unnamed: 0', 'start_date', 'end_date', 'fact', 'preds']"
Health_US,report,references/external/Time-MMD/textual/Health_US/Health_US_report.csv,1b8c86230f6c738f8cb040b95e475159139812fa6576099f75c2d868459965c8,864,455,0,"{'retained': 455, 'missing_fact': 378, 'duplicate_fact_later': 31}","['Unnamed: 0', 'start_date', 'end_date', 'fact', 'preds']"
