step,fallback_mse,selected_mse,gain_pct
1,0.07064224600766432,0.03674069737568754,47.9904738990018
2,0.12817287839846297,0.06004857431217382,53.15032707192919
3,0.19448878157757415,0.09185291835673842,52.772125152060866
4,0.255540804567527,0.1165148235177117,54.40461114814934
5,0.3271951050563218,0.1424732759715941,56.45617132717513
6,0.3984968176092237,0.16561074475228577,58.44113743596117
7,0.4772131661964791,0.19110314379074966,59.95434381790121
8,0.5527957308426618,0.22322748085942204,59.61845064918606
9,0.6213307944881554,0.26203670155815295,57.82653879661388
10,0.6924868497709343,0.2895341831782292,58.18921568344535
11,0.7695685305068904,0.3259900863280649,57.63988866419141
12,0.8597548617668225,0.36734076381144914,57.27377882382048
