domain,source_file,sha256,target_meaning,meaning_source,raw_rows,clean_rows,duplicate_rows,duplicate_dates,collapsed_rows,trimmed_edge_rows,unknown_target_rows,raw_nonfinite,raw_infinite,irregular_steps,frequency,start,end,fields,target,unit,modal_step_days
Agriculture,references/external/Time-MMD/numerical/Agriculture/Agriculture.csv,b20de02ac5c8b1396a3a5f5c9372de37ee6c1c09992f931423bcfd0199e870f3,Retail Broiler Composite,"Time-MMD/DescriptionOfOT.png; frequency/counts follow actual CSV, not image",532,532,0,0,0,0,0,0,0,0,monthly,1980-01-01T00:00:00,2024-04-30T00:00:00,"['Date', 'Wholesale broiler composite', 'OT', 'Retail-wholesale spread for broiler composite', 'date', 'start_date', 'end_date']",OT,unverified: see upstream DescriptionOfOT.png / paper Appendix C,31.0
Climate,references/external/Time-MMD/numerical/Climate/Climate.csv,9e115979c9ace13fff29bbfed1d2c998b133a7ba30b448846d3b68cb28e78644,Drought Level,"Time-MMD/DescriptionOfOT.png; frequency/counts follow actual CSV, not image",1272,1272,0,0,0,0,0,0,0,0,weekly,2000-01-04T00:00:00,2024-05-20T00:00:00,"['MapDate', 'AreaOfInterest', 'OT', 'D0', 'D1', 'D2', 'D3', 'D4', 'ValidStart', 'ValidEnd', 'StatisticFormatID', 'date', 'start_date', 'end_date']",OT,unverified: see upstream DescriptionOfOT.png / paper Appendix C,7.0
Economy,references/external/Time-MMD/numerical/Economy/Economy.csv,a6090e87936ff68b39b01fe9443b505a4b39efdbfa2377c6282359d585f98fc8,International Trade Balance,"Time-MMD/DescriptionOfOT.png; frequency/counts follow actual CSV, not image",447,447,0,0,0,0,0,0,0,0,monthly,1987-01-01T00:00:00,2024-03-31T00:00:00,"['Month', 'Exports', 'Imports', 'OT', 'start_date', 'date', 'end_date']",OT,unverified: see upstream DescriptionOfOT.png / paper Appendix C,31.0
Energy,references/external/Time-MMD/numerical/Energy/Energy.csv,eca38b04be1206e3d93ce582f39a2d58f59ecb7cc8f3f056afffe28de5a1a051,Gasoline Prices,"Time-MMD/DescriptionOfOT.png; frequency/counts follow actual CSV, not image",1622,1622,0,0,0,0,0,0,0,0,weekly,1993-04-05T00:00:00,2024-05-05T00:00:00,"['date', 'OT', 'Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon)', 'Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon)', 'Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon)', 'Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon)', 'Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon)', 'Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon)', 'Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon)', 'Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon)', 'start_date', 'end_date']",OT,unverified: see upstream DescriptionOfOT.png / paper Appendix C,7.0
Environment,references/external/Time-MMD/numerical/Environment/Environment.csv,4691cec85ac46c0b1d1eab0a8fbff03349e3e4d54e2fea47b9c92ced965c4b86,Air Quality Index,"Time-MMD/DescriptionOfOT.png; frequency/counts follow actual CSV, not image",15979,15979,0,0,0,0,0,0,0,0,daily,1980-01-01T00:00:00,2023-09-30T00:00:00,"['CBSA', 'CBSA Code', 'date', 'OT', 'Category', 'Defining Parameter', 'Defining Site', 'Number of Sites Reporting', 'start_date', 'end_date']",OT,unverified: see upstream DescriptionOfOT.png / paper Appendix C,1.0
Health_AFR,references/external/Time-MMD/numerical/Health_AFR/Health_AFR.csv,5a90f761e6755abb033ba58e17e4f6a3b7c7801d7149a8c298dc3101f87007dc,Influenza Patients Proportion,"Time-MMD/DescriptionOfOT.png; frequency/counts follow actual CSV, not image",1461,1458,0,0,0,3,3,6,3,3,weekly,1996-01-22T00:00:00,2024-05-05T00:00:00,"['date', 'date.1', 'end_date', 'OT']",OT,unverified: see upstream DescriptionOfOT.png / paper Appendix C,7.0
Health_US,references/external/Time-MMD/numerical/Health_US/Health_US.csv,3986543144751dd7e2ddc682e4a01c00f72a9bfb91f65c8b7a195e401c2ec000,Influenza Patients Proportion,"Time-MMD/DescriptionOfOT.png; frequency/counts follow actual CSV, not image",1389,1384,10,5,5,0,5,0,0,5,weekly,1997-09-29T00:00:00,2024-05-12T00:00:00,"['date', 'start_date', 'end_date', 'REGION TYPE', 'REGION', 'YEAR', 'WEEK', '% WEIGHTED ILI', 'OT', 'AGE 0-4', 'AGE 25-49', 'AGE 25-64', 'AGE 5-24', 'AGE 50-64', 'AGE 65', 'ILITOTAL', 'NUM. OF PROVIDERS', 'TOTAL PATIENTS', 'YEAR_WEEK']",OT,unverified: see upstream DescriptionOfOT.png / paper Appendix C,7.0
Security,references/external/Time-MMD/numerical/Security/Security.csv,6c2838a92a1d41475b473575f25b873c1d232b70a0e20bf101d54c8d5baed4b7,Disaster and Emergency Grants,"Time-MMD/DescriptionOfOT.png; frequency/counts follow actual CSV, not image",309,309,0,0,0,0,0,0,0,0,monthly,1998-09-01T00:00:00,2024-05-31T00:00:00,"['date', 'OT', 'start_date', 'end_date']",OT,unverified: see upstream DescriptionOfOT.png / paper Appendix C,31.0
SocialGood,references/external/Time-MMD/numerical/SocialGood/SocialGood.csv,cfa785d875d9cd826115c24eedb2747e6f762a61c1af8b258f00769a09470387,Unemployment Rate,"Time-MMD/DescriptionOfOT.png; frequency/counts follow actual CSV, not image",924,916,0,0,0,8,0,8,0,0,monthly,1948-01-01T00:00:00,2024-04-30T00:00:00,"['date', 'start_date', 'end_date', 'OT']",OT,unverified: see upstream DescriptionOfOT.png / paper Appendix C,31.0
Traffic,references/external/Time-MMD/numerical/Traffic/Traffic.csv,e6e6057734fb27fd3ed5c95ba211891709de0e512ebf94a115248b7a51ece880,Travel Volumn (upstream spelling),"Time-MMD/DescriptionOfOT.png; frequency/counts follow actual CSV, not image",651,651,0,0,0,0,0,0,0,0,monthly,1970-01-01T00:00:00,2024-03-31T00:00:00,"['OT', 'Date', 'start_date', 'date', 'end_date']",OT,unverified: see upstream DescriptionOfOT.png / paper Appendix C,31.0
