task_id,domain,fold_id,horizon,scenario,segment,valid_origins,covered_origins,unique_selected_facts,excluded_origins,baseline_covered_origins,coverage_loss_origins,coverage_loss_pct_of_baseline
Agriculture_h3_fsmoke,Agriculture,smoke,3,proxy,train,324,324,427,2,324,0,0.0
Agriculture_h3_fsmoke,Agriculture,smoke,3,proxy,calibration,18,18,92,2,18,0,0.0
Agriculture_h3_fsmoke,Agriculture,smoke,3,proxy,decision,28,28,135,2,28,0,0.0
Agriculture_h3_fsmoke,Agriculture,smoke,3,proxy,test,18,18,102,2,18,0,0.0
Agriculture_h3_fsmoke,Agriculture,smoke,3,conservative_lag,train,324,324,424,2,324,0,0.0
Agriculture_h3_fsmoke,Agriculture,smoke,3,conservative_lag,calibration,18,18,94,2,18,0,0.0
Agriculture_h3_fsmoke,Agriculture,smoke,3,conservative_lag,decision,28,28,135,2,28,0,0.0
Agriculture_h3_fsmoke,Agriculture,smoke,3,conservative_lag,test,18,18,101,2,18,0,0.0
Agriculture_h3_fsmoke,Agriculture,smoke,3,complete_source,train,324,0,0,2,324,324,100.0
Agriculture_h3_fsmoke,Agriculture,smoke,3,complete_source,calibration,18,0,0,2,18,18,100.0
Agriculture_h3_fsmoke,Agriculture,smoke,3,complete_source,decision,28,0,0,2,28,28,100.0
Agriculture_h3_fsmoke,Agriculture,smoke,3,complete_source,test,18,0,0,2,18,18,100.0
