domain,source,reason,rows
Agriculture,report,duplicate_fact_exact,117
Agriculture,report,duplicate_fact_later,59
Agriculture,report,retained,714
Agriculture,search,duplicate_fact_later,30
Agriculture,search,missing_fact,441
Agriculture,search,retained,1182
Climate,report,missing_fact,8
Climate,report,retained,582
Climate,search,duplicate_fact_later,208
Climate,search,missing_fact,393
Climate,search,retained,1660
Economy,report,retained,435
Economy,search,duplicate_fact_later,5
Economy,search,missing_fact,1
Economy,search,retained,2308
Energy,report,retained,354
Energy,search,duplicate_fact_later,25
Energy,search,missing_fact,15
Energy,search,retained,2274
Environment,report,missing_fact,16
Environment,report,retained,140
Environment,search,duplicate_fact_later,58
Environment,search,missing_fact,80
Environment,search,retained,2174
Health_AFR,report,duplicate_fact_later,12
Health_AFR,report,missing_fact,374
Health_AFR,report,retained,96
Health_AFR,search,duplicate_fact_later,9
Health_AFR,search,missing_fact,109
Health_AFR,search,retained,1793
Health_US,report,duplicate_fact_later,31
Health_US,report,missing_fact,378
Health_US,report,retained,455
Health_US,search,duplicate_fact_later,9
Health_US,search,missing_fact,128
Health_US,search,retained,1950
Security,report,missing_fact,19569
Security,search,duplicate_fact_later,51
Security,search,missing_fact,34
Security,search,retained,2226
SocialGood,report,duplicate_fact_later,67
SocialGood,report,missing_fact,24
SocialGood,report,retained,280
SocialGood,search,duplicate_fact_exact,21
SocialGood,search,duplicate_fact_later,20
SocialGood,search,missing_fact,105
SocialGood,search,retained,4444
Traffic,report,duplicate_fact_later,4
Traffic,report,retained,360
Traffic,report,reversed_interval,3
Traffic,search,duplicate_fact_later,94
Traffic,search,missing_fact,29
Traffic,search,retained,2186
