task_id,fold_id,scenario,segment,candidate_origins,retained_origins,text_available_origins,selected_text_occurrences,unknown_target_excluded,cross_boundary_excluded,proxy_text_available_origins,coverage_loss_vs_proxy
Agriculture_h12_f1,1,proxy,train,188,177,177,1382,0,11,177,0
Agriculture_h12_f1,1,proxy,calibration,54,43,43,1213,0,11,43,0
Agriculture_h12_f1,1,proxy,decision,106,95,95,3040,0,11,95,0
Agriculture_h12_f1,1,proxy,test,53,42,42,1344,0,11,42,0
Agriculture_h12_f1,1,conservative_lag,train,188,177,177,1320,0,11,177,0
Agriculture_h12_f1,1,conservative_lag,calibration,54,43,43,1177,0,11,43,0
Agriculture_h12_f1,1,conservative_lag,decision,106,95,95,3040,0,11,95,0
Agriculture_h12_f1,1,conservative_lag,test,53,42,42,1344,0,11,42,0
Agriculture_h12_f1,1,complete_source_audit_only,train,188,177,0,0,0,11,177,177
Agriculture_h12_f1,1,complete_source_audit_only,calibration,54,43,0,0,0,11,43,43
Agriculture_h12_f1,1,complete_source_audit_only,decision,106,95,0,0,0,11,95,95
Agriculture_h12_f1,1,complete_source_audit_only,test,53,42,0,0,0,11,42,42
Climate_h4_f2,2,proxy,train,584,581,581,32044,0,3,581,0
Climate_h4_f2,2,proxy,calibration,127,124,124,6936,0,3,124,0
Climate_h4_f2,2,proxy,decision,254,251,251,14034,0,3,251,0
Climate_h4_f2,2,proxy,test,127,124,124,6882,0,3,124,0
Climate_h4_f2,2,conservative_lag,train,584,581,581,31782,0,3,581,0
Climate_h4_f2,2,conservative_lag,calibration,127,124,124,6880,0,3,124,0
Climate_h4_f2,2,conservative_lag,decision,254,251,251,13918,0,3,251,0
Climate_h4_f2,2,conservative_lag,test,127,124,124,6825,0,3,124,0
Climate_h4_f2,2,complete_source_audit_only,train,584,581,0,0,0,3,581,581
Climate_h4_f2,2,complete_source_audit_only,calibration,127,124,0,0,0,3,124,124
Climate_h4_f2,2,complete_source_audit_only,decision,254,251,0,0,0,3,251,251
Climate_h4_f2,2,complete_source_audit_only,test,127,124,0,0,0,3,124,124
SocialGood_h3_f1,1,proxy,train,342,340,0,0,0,2,0,0
SocialGood_h3_f1,1,proxy,calibration,92,90,71,2218,0,2,71,0
SocialGood_h3_f1,1,proxy,decision,183,181,181,7235,0,2,181,0
SocialGood_h3_f1,1,proxy,test,91,89,89,4445,0,2,89,0
SocialGood_h3_f1,1,conservative_lag,train,342,340,0,0,0,2,0,0
SocialGood_h3_f1,1,conservative_lag,calibration,92,90,70,2186,0,2,71,1
SocialGood_h3_f1,1,conservative_lag,decision,183,181,181,7142,0,2,181,0
SocialGood_h3_f1,1,conservative_lag,test,91,89,89,4349,0,2,89,0
SocialGood_h3_f1,1,complete_source_audit_only,train,342,340,0,0,0,2,0,0
SocialGood_h3_f1,1,complete_source_audit_only,calibration,92,90,0,0,0,2,71,71
SocialGood_h3_f1,1,complete_source_audit_only,decision,183,181,0,0,0,2,181,181
SocialGood_h3_f1,1,complete_source_audit_only,test,91,89,0,0,0,2,89,89
Environment_h7_f2,2,proxy,train,7933,7927,7927,57728,0,6,7927,0
Environment_h7_f2,2,proxy,calibration,1598,1592,1592,12624,0,6,1592,0
Environment_h7_f2,2,proxy,decision,3196,3190,3190,23970,0,6,3190,0
Environment_h7_f2,2,proxy,test,1598,1592,1592,12444,0,6,1592,0
Environment_h7_f2,2,conservative_lag,train,7933,7927,7927,56696,0,6,7927,0
Environment_h7_f2,2,conservative_lag,calibration,1598,1592,1592,12399,0,6,1592,0
Environment_h7_f2,2,conservative_lag,decision,3196,3190,3190,23542,0,6,3190,0
Environment_h7_f2,2,conservative_lag,test,1598,1592,1592,12222,0,6,1592,0
Environment_h7_f2,2,complete_source_audit_only,train,7933,7927,0,0,0,6,7927,7927
Environment_h7_f2,2,complete_source_audit_only,calibration,1598,1592,0,0,0,6,1592,1592
Environment_h7_f2,2,complete_source_audit_only,decision,3196,3190,0,0,0,6,3190,3190
Environment_h7_f2,2,complete_source_audit_only,test,1598,1592,0,0,0,6,1592,1592
