task_id,fold_id,horizon,origin_index,segment,reason,origin_id,cutoff_time,history_start,target_end_index,segment_lo,segment_hi
Agriculture_h12_f1,1,12,24,train,retained,Agriculture:h12:f1:o24,1982-01-01T00:00:00,1980-01-01T00:00:00,36,0,212
Agriculture_h12_f1,1,12,200,train,retained,Agriculture:h12:f1:o200,1996-09-01T00:00:00,1994-09-01T00:00:00,212,0,212
Agriculture_h12_f1,1,12,201,train,target_crosses_boundary,Agriculture:h12:f1:o201,1996-10-01T00:00:00,1994-10-01T00:00:00,213,0,212
Agriculture_h12_f1,1,12,211,train,target_crosses_boundary,Agriculture:h12:f1:o211,1997-08-01T00:00:00,1995-08-01T00:00:00,223,0,212
Agriculture_h12_f1,1,12,212,calibration,retained,Agriculture:h12:f1:o212,1997-09-01T00:00:00,1995-09-01T00:00:00,224,212,266
Agriculture_h12_f1,1,12,254,calibration,retained,Agriculture:h12:f1:o254,2001-03-01T00:00:00,1999-03-01T00:00:00,266,212,266
Agriculture_h12_f1,1,12,255,calibration,target_crosses_boundary,Agriculture:h12:f1:o255,2001-04-01T00:00:00,1999-04-01T00:00:00,267,212,266
Agriculture_h12_f1,1,12,265,calibration,target_crosses_boundary,Agriculture:h12:f1:o265,2002-02-01T00:00:00,2000-02-01T00:00:00,277,212,266
Agriculture_h12_f1,1,12,266,decision,retained,Agriculture:h12:f1:o266,2002-03-01T00:00:00,2000-03-01T00:00:00,278,266,372
Agriculture_h12_f1,1,12,360,decision,retained,Agriculture:h12:f1:o360,2010-01-01T00:00:00,2008-01-01T00:00:00,372,266,372
Agriculture_h12_f1,1,12,361,decision,target_crosses_boundary,Agriculture:h12:f1:o361,2010-02-01T00:00:00,2008-02-01T00:00:00,373,266,372
Agriculture_h12_f1,1,12,371,decision,target_crosses_boundary,Agriculture:h12:f1:o371,2010-12-01T00:00:00,2008-12-01T00:00:00,383,266,372
Agriculture_h12_f1,1,12,372,test,retained,Agriculture:h12:f1:o372,2011-01-01T00:00:00,2009-01-01T00:00:00,384,372,425
Agriculture_h12_f1,1,12,413,test,retained,Agriculture:h12:f1:o413,2014-06-01T00:00:00,2012-06-01T00:00:00,425,372,425
Agriculture_h12_f1,1,12,414,test,target_crosses_boundary,Agriculture:h12:f1:o414,2014-07-01T00:00:00,2012-07-01T00:00:00,426,372,425
Agriculture_h12_f1,1,12,424,test,target_crosses_boundary,Agriculture:h12:f1:o424,2015-05-01T00:00:00,2013-05-01T00:00:00,436,372,425
Climate_h4_f2,2,4,52,train,retained,Climate:h4:f2:o52,2001-01-02T00:00:00,2000-01-04T00:00:00,56,0,636
Climate_h4_f2,2,4,632,train,retained,Climate:h4:f2:o632,2012-02-14T00:00:00,2011-02-15T00:00:00,636,0,636
Climate_h4_f2,2,4,633,train,target_crosses_boundary,Climate:h4:f2:o633,2012-02-21T00:00:00,2011-02-22T00:00:00,637,0,636
Climate_h4_f2,2,4,635,train,target_crosses_boundary,Climate:h4:f2:o635,2012-03-06T00:00:00,2011-03-08T00:00:00,639,0,636
Climate_h4_f2,2,4,636,calibration,retained,Climate:h4:f2:o636,2012-03-13T00:00:00,2011-03-15T00:00:00,640,636,763
Climate_h4_f2,2,4,759,calibration,retained,Climate:h4:f2:o759,2014-07-22T00:00:00,2013-07-23T00:00:00,763,636,763
Climate_h4_f2,2,4,760,calibration,target_crosses_boundary,Climate:h4:f2:o760,2014-07-29T00:00:00,2013-07-30T00:00:00,764,636,763
Climate_h4_f2,2,4,762,calibration,target_crosses_boundary,Climate:h4:f2:o762,2014-08-12T00:00:00,2013-08-13T00:00:00,766,636,763
Climate_h4_f2,2,4,763,decision,retained,Climate:h4:f2:o763,2014-08-19T00:00:00,2013-08-20T00:00:00,767,763,1017
Climate_h4_f2,2,4,1013,decision,retained,Climate:h4:f2:o1013,2019-06-04T00:00:00,2018-06-05T00:00:00,1017,763,1017
