task_id,segment,reason,origins
Agriculture_h12_f1,train,retained,177
Agriculture_h12_f1,train,target_crosses_boundary,11
Agriculture_h12_f1,calibration,retained,43
Agriculture_h12_f1,calibration,target_crosses_boundary,11
Agriculture_h12_f1,decision,retained,95
Agriculture_h12_f1,decision,target_crosses_boundary,11
Agriculture_h12_f1,test,retained,42
Agriculture_h12_f1,test,target_crosses_boundary,11
Climate_h4_f2,train,retained,581
Climate_h4_f2,train,target_crosses_boundary,3
Climate_h4_f2,calibration,retained,124
Climate_h4_f2,calibration,target_crosses_boundary,3
Climate_h4_f2,decision,retained,251
Climate_h4_f2,decision,target_crosses_boundary,3
Climate_h4_f2,test,retained,124
Climate_h4_f2,test,target_crosses_boundary,3
Environment_h7_f2,train,retained,7927
Environment_h7_f2,train,target_crosses_boundary,6
Environment_h7_f2,calibration,retained,1592
Environment_h7_f2,calibration,target_crosses_boundary,6
Environment_h7_f2,decision,retained,3190
Environment_h7_f2,decision,target_crosses_boundary,6
Environment_h7_f2,test,retained,1592
Environment_h7_f2,test,target_crosses_boundary,6
SocialGood_h3_f1,train,retained,340
SocialGood_h3_f1,train,target_crosses_boundary,2
SocialGood_h3_f1,calibration,retained,90
SocialGood_h3_f1,calibration,target_crosses_boundary,2
SocialGood_h3_f1,decision,retained,181
SocialGood_h3_f1,decision,target_crosses_boundary,2
SocialGood_h3_f1,test,retained,89
SocialGood_h3_f1,test,target_crosses_boundary,2
