start_date,end_date,OT
1980-01-01,1980-01-31,93.3039576
1980-02-01,1980-02-29,92.39119
1980-03-01,1980-03-31,90.8114008
1980-04-01,1980-04-30,88.235892
1980-05-01,1980-05-31,88.5777142
1980-06-01,1980-06-30,90.2793988
1980-07-01,1980-07-31,97.53958
1980-08-01,1980-08-31,101.2356736
1980-09-01,1980-09-30,106.4478102
1980-10-01,1980-10-31,105.8828064
1980-11-01,1980-11-30,104.6288648
1980-12-01,1980-12-31,104.725368
1981-01-01,1981-01-31,104.2318882
1981-02-01,1981-02-28,105.2244048
1981-03-01,1981-03-31,104.6880228
1981-04-01,1981-04-30,100.7707424
1981-05-01,1981-05-31,101.115754
1981-06-01,1981-06-30,102.1674952
1981-07-01,1981-07-31,108.646997
1981-08-01,1981-08-31,106.6293088
1981-09-01,1981-09-30,104.562828
1981-10-01,1981-10-31,104.2693858
1981-11-01,1981-11-30,103.0037
1981-12-01,1981-12-31,102.241345
1982-01-01,1982-01-31,104.3393132
1982-02-01,1982-02-28,105.041272
1982-03-01,1982-03-31,102.7946548
1982-04-01,1982-04-30,101.9488548
1982-05-01,1982-05-31,103.4390286
1982-06-01,1982-06-30,103.6612094
1982-07-01,1982-07-31,105.4098888
1982-08-01,1982-08-31,104.0789592
1982-09-01,1982-09-30,103.5172
1982-10-01,1982-10-31,102.4454076
1982-11-01,1982-11-30,101.300239
1982-12-01,1982-12-31,100.6421184
1983-01-01,1983-01-31,100.91756
1983-02-01,1983-02-28,102.2133514
1983-03-01,1983-03-31,103.0803168
1983-04-01,1983-04-30,101.621263
1983-05-01,1983-05-31,103.1935616
1983-06-01,1983-06-30,101.455072
1983-07-01,1983-07-31,105.7291622
1983-08-01,1983-08-31,106.9239986
1983-09-01,1983-09-30,110.2481296
1983-10-01,1983-10-31,105.9618056
1983-11-01,1983-11-30,108.3355678
1983-12-01,1983-12-31,114.1350754
1984-01-01,1984-01-31,120.6977236
1984-02-01,1984-02-29,125.5589072
1984-03-01,1984-03-31,124.1408596
1984-04-01,1984-04-30,122.974829
1984-05-01,1984-05-31,119.2377432
1984-06-01,1984-06-30,120.4480128
1984-07-01,1984-07-31,120.8759936
1984-08-01,1984-08-31,116.215539
1984-09-01,1984-09-30,117.94234
1984-10-01,1984-10-31,114.7877024
1984-11-01,1984-11-30,114.512484
1984-12-01,1984-12-31,113.9187144
1985-01-01,1985-01-31,116.610535
1985-02-01,1985-02-28,116.3889212
1985-03-01,1985-03-31,115.2830096
1985-04-01,1985-04-30,113.0111368
1985-05-01,1985-05-31,112.843024
1985-06-01,1985-06-30,114.328076
1985-07-01,1985-07-31,115.3055992
1985-08-01,1985-08-31,113.2766336
1985-09-01,1985-09-30,114.7296
1985-10-01,1985-10-31,112.6197552
1985-11-01,1985-11-30,115.8473632
1985-12-01,1985-12-31,121.074474
1986-01-01,1986-01-31,119.5894266
1986-02-01,1986-02-28,117.1964574
1986-03-01,1986-03-31,115.4630568
1986-04-01,1986-04-30,116.4438852
1986-05-01,1986-05-31,116.486737
1986-06-01,1986-06-30,121.9123852
