start_date,end_date,OT
2000-01-04,2000-01-10,57.29
2000-01-11,2000-01-17,48.27
2000-01-18,2000-01-24,43.26
2000-01-25,2000-01-31,42.03
2000-02-01,2000-02-07,45.6
2000-02-08,2000-02-14,46.5
2000-02-15,2000-02-21,47.17
2000-02-22,2000-02-28,52.59
2000-02-29,2000-03-06,54.35
2000-03-07,2000-03-13,54.73
2000-03-14,2000-03-20,59.44
2000-03-21,2000-03-27,59.74
2000-03-28,2000-04-03,61.97
2000-04-04,2000-04-10,59.35
2000-04-11,2000-04-17,62.16
2000-04-18,2000-04-24,60.64
2000-04-25,2000-05-01,63.2
2000-05-02,2000-05-08,62.61
2000-05-09,2000-05-15,62.87
2000-05-16,2000-05-22,60.21
2000-05-23,2000-05-29,64.63
2000-05-30,2000-06-05,68.15
2000-06-06,2000-06-12,68.61
2000-06-13,2000-06-19,63.01
2000-06-20,2000-06-26,64.25
2000-06-27,2000-07-03,61.12
2000-07-04,2000-07-10,57.8
2000-07-11,2000-07-17,56.32
2000-07-18,2000-07-24,55.65
2000-07-25,2000-07-31,56.81
2000-08-01,2000-08-07,58.33
2000-08-08,2000-08-14,57.11
2000-08-15,2000-08-21,56.7
2000-08-22,2000-08-28,57.99
2000-08-29,2000-09-04,52.85
2000-09-05,2000-09-11,52.06
2000-09-12,2000-09-18,52.86
2000-09-19,2000-09-25,51.09
2000-09-26,2000-10-02,51.58
2000-10-03,2000-10-09,49.36
2000-10-10,2000-10-16,50.18
2000-10-17,2000-10-23,49.92
2000-10-24,2000-10-30,46.23
2000-10-31,2000-11-06,49.98
2000-11-07,2000-11-13,62.07
2000-11-14,2000-11-20,69.11
2000-11-21,2000-11-27,70.05
2000-11-28,2000-12-04,70.22
2000-12-05,2000-12-11,71.61
2000-12-12,2000-12-18,72.21
2000-12-19,2000-12-25,75.39
2000-12-26,2001-01-01,76.73
2001-01-02,2001-01-08,75.53
2001-01-09,2001-01-15,73.35
2001-01-16,2001-01-22,74.71
2001-01-23,2001-01-29,63.51
2001-01-30,2001-02-05,67.34
2001-02-06,2001-02-12,67.59
2001-02-13,2001-02-19,68.75
2001-02-20,2001-02-26,71.05
2001-02-27,2001-03-05,70.78
2001-03-06,2001-03-12,72.05
2001-03-13,2001-03-19,71.45
2001-03-20,2001-03-26,71.39
2001-03-27,2001-04-02,68.45
2001-04-03,2001-04-09,68.05
2001-04-10,2001-04-16,70.26
2001-04-17,2001-04-23,70.65
2001-04-24,2001-04-30,70.52
2001-05-01,2001-05-07,69.08
2001-05-08,2001-05-14,60.26
2001-05-15,2001-05-21,59.35
2001-05-22,2001-05-28,61.28
2001-05-29,2001-06-04,62.43
2001-06-05,2001-06-11,66.75
2001-06-12,2001-06-18,68.35
2001-06-19,2001-06-25,64.11
2001-06-26,2001-07-02,62.01
2001-07-03,2001-07-09,59.65
2001-07-10,2001-07-16,63.86
2001-07-17,2001-07-23,58.59
2001-07-24,2001-07-30,55.38
2001-07-31,2001-08-06,55.8
2001-08-07,2001-08-13,56.94
2001-08-14,2001-08-20,59.05
2001-08-21,2001-08-27,61.49
2001-08-28,2001-09-03,60.22
2001-09-04,2001-09-10,57.91
2001-09-11,2001-09-17,57.43
2001-09-18,2001-09-24,59.46
2001-09-25,2001-10-01,63.35
2001-10-02,2001-10-08,62.99
2001-10-09,2001-10-15,60.29
2001-10-16,2001-10-22,61.31
2001-10-23,2001-10-29,56.51
2001-10-30,2001-11-05,53.64
2001-11-06,2001-11-12,51.46
2001-11-13,2001-11-19,48.74
2001-11-20,2001-11-26,48.93
2001-11-27,2001-12-03,52.79
2001-12-04,2001-12-10,53.23
2001-12-11,2001-12-17,54.54
2001-12-18,2001-12-24,55.47
2001-12-25,2001-12-31,55.39
2002-01-01,2002-01-07,55.28
2002-01-08,2002-01-14,54.46
2002-01-15,2002-01-21,52.93
2002-01-22,2002-01-28,52.81
2002-01-29,2002-02-04,52.12
2002-02-05,2002-02-11,51.82
2002-02-12,2002-02-18,50.97
2002-02-19,2002-02-25,49.28
2002-02-26,2002-03-04,46.61
2002-03-05,2002-03-11,46.85
2002-03-12,2002-03-18,41.19
2002-03-19,2002-03-25,42.55
2002-03-26,2002-04-01,42.51
2002-04-02,2002-04-08,44.2
2002-04-09,2002-04-15,45.28
2002-04-16,2002-04-22,45.91
2002-04-23,2002-04-29,45.12
2002-04-30,2002-05-06,46.16
2002-05-07,2002-05-13,44.27
2002-05-14,2002-05-20,46.09
2002-05-21,2002-05-27,47.59
2002-05-28,2002-06-03,45.99
2002-06-04,2002-06-10,39.99
2002-06-11,2002-06-17,40.93
2002-06-18,2002-06-24,42.7
2002-06-25,2002-07-01,41.68
2002-07-02,2002-07-08,40.93
2002-07-09,2002-07-15,40.37
2002-07-16,2002-07-22,40.01
2002-07-23,2002-07-29,34.92
2002-07-30,2002-08-05,34.13
2002-08-06,2002-08-12,34.11
2002-08-13,2002-08-19,34.39
2002-08-20,2002-08-26,39.13
2002-08-27,2002-09-02,40.95
2002-09-03,2002-09-09,39.07
2002-09-10,2002-09-16,40.62
2002-09-17,2002-09-23,40.32
2002-09-24,2002-09-30,43.09
2002-10-01,2002-10-07,40.73
2002-10-08,2002-10-14,40.47
2002-10-15,2002-10-21,43.42
2002-10-22,2002-10-28,45.96
2002-10-29,2002-11-04,49.03
2002-11-05,2002-11-11,49.14
2002-11-12,2002-11-18,50.54
2002-11-19,2002-11-25,50.7
2002-11-26,2002-12-02,50.95
2002-12-03,2002-12-09,50.67
2002-12-10,2002-12-16,48.6
2002-12-17,2002-12-23,51.63
2002-12-24,2002-12-30,52.59
2002-12-31,2003-01-06,53.87
2003-01-07,2003-01-13,51.62
2003-01-14,2003-01-20,51.48
2003-01-21,2003-01-27,49.63
2003-01-28,2003-02-03,48.7
2003-02-04,2003-02-10,47.94
2003-02-11,2003-02-17,46.74
2003-02-18,2003-02-24,48.11
2003-02-25,2003-03-03,47.61
2003-03-04,2003-03-10,47.21
2003-03-11,2003-03-17,45.45
2003-03-18,2003-03-24,43.14
2003-03-25,2003-03-31,44.4
2003-04-01,2003-04-07,44.69
2003-04-08,2003-04-14,46.7
