task_id,scenario,segment,candidate_origins,retained_origins,excluded_origins,target_crossing_excluded,nonfinite_target_excluded,text_available_origins,unique_selected_texts
Agriculture_h12_f1,proxy,train,188,177,11,11,0,177,67
Agriculture_h12_f1,proxy,calibration,54,43,11,11,0,43,92
Agriculture_h12_f1,proxy,decision,106,95,11,11,0,95,337
Agriculture_h12_f1,proxy,test,53,42,11,11,0,42,192
Agriculture_h12_f1,conservative_lag,train,188,177,11,11,0,177,67
Agriculture_h12_f1,conservative_lag,calibration,54,43,11,11,0,43,91
Agriculture_h12_f1,conservative_lag,decision,106,95,11,11,0,95,335
Agriculture_h12_f1,conservative_lag,test,53,42,11,11,0,42,193
Climate_h4_f2,proxy,train,584,581,3,3,0,581,817
Climate_h4_f2,proxy,calibration,127,124,3,3,0,124,224
Climate_h4_f2,proxy,decision,254,251,3,3,0,251,399
Climate_h4_f2,proxy,test,127,124,3,3,0,124,220
Climate_h4_f2,conservative_lag,train,584,581,3,3,0,581,817
Climate_h4_f2,conservative_lag,calibration,127,124,3,3,0,124,224
Climate_h4_f2,conservative_lag,decision,254,251,3,3,0,251,397
Climate_h4_f2,conservative_lag,test,127,124,3,3,0,124,220
SocialGood_h3_f1,proxy,train,342,340,2,2,0,0,0
SocialGood_h3_f1,proxy,calibration,92,90,2,2,0,71,568
SocialGood_h3_f1,proxy,decision,183,181,2,2,0,181,1561
SocialGood_h3_f1,proxy,test,91,89,2,2,0,89,863
SocialGood_h3_f1,conservative_lag,train,342,340,2,2,0,0,0
SocialGood_h3_f1,conservative_lag,calibration,92,90,2,2,0,70,561
SocialGood_h3_f1,conservative_lag,decision,183,181,2,2,0,181,1558
SocialGood_h3_f1,conservative_lag,test,91,89,2,2,0,89,860
Environment_h7_f2,proxy,train,7933,7927,6,6,0,7927,1037
Environment_h7_f2,proxy,calibration,1598,1592,6,6,0,1592,233
Environment_h7_f2,proxy,decision,3196,3190,6,6,0,3190,436
Environment_h7_f2,proxy,test,1598,1592,6,6,0,1592,229
Environment_h7_f2,conservative_lag,train,7933,7927,6,6,0,7927,1037
Environment_h7_f2,conservative_lag,calibration,1598,1592,6,6,0,1592,233
Environment_h7_f2,conservative_lag,decision,3196,3190,6,6,0,3190,436
Environment_h7_f2,conservative_lag,test,1598,1592,6,6,0,1592,229
