task_id,origin_id,proxy_selected,conservative_lag_selected,removed_by_lag,removed_end_dates,trigger
SocialGood_h3_f1,SocialGood:h3:f1:o385,7,0,"['2b4b9b894f98dd94', '7da5592bc23bbfd3', 'b0a8e23b5d1cb2ca', 'c3b3f6189f794c42', 'cdb480ebfea77308', 'd9c7cc43dabbd70b', 'f7c1b07845d2d4ba']","['1980-01-20', '1980-01-20', '1980-01-06', '1980-01-27', '1980-01-13', '1980-01-27', '1980-01-06']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o386,14,7,"['04b05ee2d17d37d2', '56605db62b15e6ea', '6c6f1d48fa3c363b', '7087c823e25a2e52', '7780064d647f6060', '86595bc6a15dba30', 'df3b697e8a50ff07']","['1980-02-17', '1980-02-17', '1980-02-03', '1980-02-10', '1980-02-24', '1980-02-03', '1980-02-10']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o387,23,14,"['0126e1a95cb3f92e', '38d426121b72c227', '52d1189585fbad2e', '582760720f3fe2b9', 'bb0f3827626a665e', 'c7e34fd1a4319024', 'd011573ef67c3599', 'd8c8267b3baa86ec', 'fbc851f22e8c1e7e']","['1980-03-16', '1980-03-30', '1980-03-30', '1980-03-02', '1980-03-23', '1980-03-16', '1980-03-23', '1980-03-02', '1980-03-09']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o388,30,23,"['2197f08f0976875c', '45761f30a7557457', '6bf0a9b85f129343', '721c74e9dc59098f', '7886366677dbc78a', 'c5a47661b57b3616', 'ecce1f732c3f8d81']","['1980-04-06', '1980-04-06', '1980-04-27', '1980-04-13', '1980-04-13', '1980-04-20', '1980-04-20']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o389,32,30,"['14b066b093f4745d', '44ab6a9afdeb7971', '57e584286c6ecaed', '74d82622ca2496eb', '7c49b2513156363e', 'c3692bc0f7462e49', 'ce0d084f22d817fa', 'e18e0344a35ba3da']","['1980-05-04', '1980-05-25', '1980-05-11', '1980-05-25', '1980-05-18', '1980-05-04', '1980-05-18', '1980-05-11']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o390,32,32,"['00188268210b7be8', '0970ca0ddfa81c57', '104456887e59adc6', '63a520eea61336a6', '8c24b55024fe11b1', '99ac078a7c218bda', 'a539216349025997', 'bfb0cc530fb69be9', 'c19e37e43bd437c4', 'db8e2b3e784beb41']","['1980-06-15', '1980-06-22', '1980-06-08', '1980-06-29', '1980-06-01', '1980-06-15', '1980-06-08', '1980-06-22', '1980-06-29', '1980-06-01']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o391,32,32,"['0e78d700c8b6aee7', '2e7317258614cd2d', '5ec889f5f1b5d057', 'e50b3f82e0557ab3']","['1980-07-06', '1980-07-20', '1980-07-13', '1980-07-20']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o392,32,32,"['02243003e98a1d6c', '0b455eb8d0656a39', '3d121943bcd792d5', '4f14375e20a87f1a', 'a6e9c92549457a96', 'b3b9d06c2223cf8a', 'bac03cbea33d29bd', 'c4c40c4ef9db456f']","['1980-08-17', '1980-08-10', '1980-08-17', '1980-08-31', '1980-08-31', '1980-08-03', '1980-08-03', '1980-08-10']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o393,32,32,"['1ff11e8018ccc9c6', '2d8815414756b46e', '4f14375e20a87f1a', '5089cd592e19a71a', '944d4106718bdb7d', '9494187bde34cf7f', 'a6e9c92549457a96', 'bdc2872db819b659', 'fb0a0d40a137d13a', 'ff77cab600afb3d3']","['1980-09-07', '1980-09-14', '1980-08-31', '1980-09-21', '1980-09-28', '1980-09-21', '1980-08-31', '1980-09-14', '1980-09-07', '1980-09-28']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o394,32,32,"['1c506e459ed86363', '1ea0d4b39ac5a4f6', '28fa29c9ca1c1c6b', '2ff2ebf01b1b14f0', '37e3a86d19870c56', '7aa692f48044bc1c', '8c30b94b8ac4104f', '9b9977d72eaab22a']","['1980-10-05', '1980-10-26', '1980-10-12', '1980-10-26', '1980-10-19', '1980-10-19', '1980-10-12', '1980-10-05']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o395,32,32,"['03328ca85e70d991', '7181a3f785833a6c', '790a060232458298', 'afcd600d9f29004e', 'c364cb2dd55a0c4c', 'cb51d7f3b9c6898b', 'd4915d01475ecbfa', 'f18dea77eeecc2be']","['1980-11-16', '1980-11-09', '1980-11-16', '1980-11-02', '1980-11-23', '1980-11-30', '1980-11-23', '1980-11-09']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o396,32,32,"['121c4f9ff1bb0d1d', '1e9588383dec3fbe', '412997eb04131f5d', '47cf8212b289e233', '5c6755e65944626d', 'b8d087bdfaa2e377', 'babb86b9de2cfd87', 'dbac1a988555ddd5']","['1980-12-07', '1980-12-14', '1980-12-28', '1980-12-07', '1980-12-14', '1980-12-21', '1980-12-21', '1980-12-28']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o397,32,32,"['56c14f70900117d4', '8d788ad5c1ad40ff', 'adcfda8d05f902b2', 'c0ccebabd3f064e4', 'd2adfb57d57fc083', 'e1957d124bf8d6da', 'e6c547e50e2af909', 'ff89068d7143fe07']","['1981-01-04', '1981-01-04', '1981-01-11', '1981-01-25', '1981-01-25', '1981-01-18', '1981-01-18', '1981-01-11']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o398,32,32,"['099b5e96e3e9d44f', '099eed3e8bdcf5b2', '3153d953fa6a4e99', '5d38b8c8fcc87b45', '63f8b58142be55be', '99e8112d5e783655', 'b3a1883bdae49d33', 'f629f958ad2f9fb8']","['1981-02-01', '1981-02-08', '1981-02-08', '1981-02-22', '1981-02-15', '1981-02-22', '1981-02-01', '1981-02-15']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o399,32,32,"['0f5e8057fc656982', '8f53c7b3583cd74d', 'a07395b24854745b', 'b2eacfdf2707024b', 'd32e9db74207f847', 'e32e7235bf9e3777', 'e54cc322dce8968f', 'f20e27766a7e76f6', 'f249f93aabaa1cad']","['1981-03-29', '1981-03-01', '1981-03-15', '1981-03-22', '1981-03-08', '1981-03-08', '1981-03-29', '1981-03-01', '1981-03-15']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o400,32,32,"['071805e381ec6de7', '45e2667ffc27cb04', '59d6df1fd2c053c6', '72f4a39661cbb95c', '9f6e114bcb27e5e1', 'aa65399c128b29d9', 'fbde304a2a0fc7eb']","['1981-04-26', '1981-04-12', '1981-04-05', '1981-04-12', '1981-04-19', '1981-04-05', '1981-04-19']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o401,32,32,"['25e4d8886a34998c', '5be6aa5124821154', '662c0d08ef83b58b', '7831d6cde5a132f2', '87ebc5fe7905094e', 'ccb71531c7ebbc9d', 'dbeffeed18b6144c', 'e84c55881c68d938', 'e8a4d660be312380']","['1981-05-03', '1981-05-31', '1981-05-10', '1981-05-10', '1981-05-24', '1981-05-17', '1981-05-03', '1981-05-31', '1981-05-17']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o402,32,32,"['16480d819e917bd1', '3d7de93d39862502', '3f61775b57f5c938', '5be6aa5124821154', '6bd68a6ad080f0ec', '79e573955177e7c4', 'baf444b7f56093de', 'e84c55881c68d938']","['1981-06-07', '1981-06-07', '1981-06-28', '1981-05-31', '1981-06-21', '1981-06-14', '1981-06-28', '1981-05-31']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o403,32,32,"['11b7e436cdd50441', '254d119f20b971d1', '3448cd5dcc85f49e', '35cb70bc1ccd4588', '70a691543ddb4873', '7782890e6811d9b1', 'a720c3b360ad4a77', 'b1422633b7669af1']","['1981-07-26', '1981-07-26', '1981-07-19', '1981-07-12', '1981-07-05', '1981-07-19', '1981-07-12', '1981-07-05']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o404,32,32,"['015bceb63b041135', '05ba52fc8b1a6e04', '1b941bbe451b6ea6', '2c668d68deadf876', '667a4e5f29a70158', '8e8710dd46a40f5b', 'a6c701ea37f30d0e', 'cbfae813d059ef03']","['1981-08-23', '1981-08-09', '1981-08-02', '1981-08-30', '1981-08-30', '1981-08-02', '1981-08-16', '1981-08-16']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o405,32,32,"['253f65f94591b5d3', '48f699d77c824884', '4c6e5e2b390da0b3', '5c9e8672f382d8d4', '923681edf0eb1ce9', 'c82c9c3a365c60f6', 'fe3d798058b98f10']","['1981-09-20', '1981-09-13', '1981-09-20', '1981-09-27', '1981-09-13', '1981-09-27', '1981-09-06']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o406,32,32,"['29fa791a3643f544', '7f7f7048dd2788c5', '99982d0b2f6f8b30', 'a105c3dea823cbcb', 'c02f4b6c8f7c76db', 'd764e6b5cb872cf9', 'fba575334aacf094']","['1981-10-25', '1981-10-18', '1981-10-11', '1981-10-18', '1981-10-04', '1981-10-11', '1981-10-25']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o407,32,32,"['0b077d30fa8272d2', '353954b67a4bbee0', '606ba2602e5d1a8e', '6d5e3439bb26c358', '9510296185c7a1e3', '9eff209b24f7f168', 'a66568109197d669', 'd4564d65b1e8592b', 'ee86aef9f0db1e87']","['1981-11-08', '1981-11-08', '1981-11-22', '1981-11-15', '1981-11-15', '1981-11-29', '1981-11-01', '1981-11-22', '1981-11-01']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o408,32,32,"['272fc05761310385', '2957f1e8f6db7315', 'c539cd9af8505844', 'cdcda5e06ef7a795', 'd443af0a0d92153d', 'dfb262a6129786ca', 'ff8cc162c7d20474']","['1981-12-27', '1981-12-13', '1981-12-20', '1981-12-20', '1981-12-06', '1981-12-13', '1981-12-06']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o409,32,32,"['0ecd0d58f2bc6b30', '23200c2e77188a09', '2ea9405da4e3abb6', '51e14994103b92ab', '56bf28d1c3c330cc', '5cc9d3ed9f70bf8e', 'a4dc8ab2772a2dd3', 'b2e011eec09a15c6', 'b3c3e192cb06d414']","['1982-01-17', '1982-01-31', '1982-01-03', '1982-01-10', '1982-01-24', '1982-01-24', '1982-01-31', '1982-01-10', '1982-01-03']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o410,32,32,"['054b13de2f7cec08', '0b5ba3ce7fc485ea', '23200c2e77188a09', '550543dc91247c39', '889ada420bfeb7c3', 'a14439e2350e0453', 'a4dc8ab2772a2dd3', 'a52d836080725478', 'd94051c2c276c5db']","['1982-02-07', '1982-02-21', '1982-01-31', '1982-02-28', '1982-02-07', '1982-02-21', '1982-01-31', '1982-02-14', '1982-02-14']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o411,32,32,"['031fe38ebf21c4b4', '4f4d35b569561055', '5ea3f9db3b1cec92', '8ffbd9babb6bce7b', '981bb5f37072a61c', 'ac5c4d210fbf7015', 'b696bbcbb712ba57']","['1982-03-07', '1982-03-14', '1982-03-21', '1982-03-14', '1982-03-07', '1982-03-28', '1982-03-21']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o412,32,32,"['040f68cab86dddcb', '703e82da6129843b', '72a11899763a6996', 'c5d47388d31f0006', 'c9ceb983f7c74d81', 'cb495477b500c115', 'd2762604ad5dcf36', 'dc51ad1351d4013e']","['1982-04-11', '1982-04-18', '1982-04-11', '1982-04-25', '1982-04-04', '1982-04-04', '1982-04-25', '1982-04-18']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o413,32,32,"['0469e9653d59a7da', '0d9a1683677b49ee', '4ff724727213c72f', '52a559849d9adb8b', '7b393b4e5b3f71eb', '8b37162423ab5f37', '8e9c53ed250cd6a7', '99d87e43c3ec0161', 'add2fb56a593251e', 'da929427b8259bfe']","['1982-05-30', '1982-05-09', '1982-05-16', '1982-05-16', '1982-05-02', '1982-05-23', '1982-05-09', '1982-05-02', '1982-05-23', '1982-05-30']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o414,32,32,"['45ab91c107d301a4', '76d2ada81542dea9', 'b1f22984d43353f8', 'b26545fc659d91ee', 'dfa1111c0a6b1282', 'fc401a418c73d2e3']","['1982-06-06', '1982-06-20', '1982-06-13', '1982-06-20', '1982-06-06', '1982-06-13']",lag_not_elapsed
SocialGood_h3_f1,SocialGood:h3:f1:o415,32,32,"['045e1ad8f4b560cb', '3cde835b45f15ff2', '51ebbb3cdd6d7039', '668a11343ca7b89d', '81e3707b58f2f378', 'c17d07f221fe073a', 'd59691e46ccf6900', 'f71e75a31969d42b']","['1982-07-18', '1982-07-18', '1982-07-11', '1982-07-11', '1982-07-25', '1982-07-25', '1982-07-04', '1982-07-04']",lag_not_elapsed
