task_id,segment,scenario,origins_denominator,text_available_origins,text_available_rate,selected_facts_total,selected_facts_q1,selected_facts_median,selected_facts_q3
Agriculture_h12_f1,calibration,conservative_lag,43,43,1.0,1177,22.5,28.0,32.0
Agriculture_h12_f1,calibration,proxy,43,43,1.0,1213,23.5,29.0,32.0
Agriculture_h12_f1,decision,conservative_lag,95,95,1.0,3040,32.0,32.0,32.0
Agriculture_h12_f1,decision,proxy,95,95,1.0,3040,32.0,32.0,32.0
Agriculture_h12_f1,test,conservative_lag,42,42,1.0,1344,32.0,32.0,32.0
Agriculture_h12_f1,test,proxy,42,42,1.0,1344,32.0,32.0,32.0
Agriculture_h12_f1,train,conservative_lag,177,177,1.0,1320,5.0,9.0,9.0
Agriculture_h12_f1,train,proxy,177,177,1.0,1382,5.0,9.0,10.0
Climate_h4_f2,calibration,conservative_lag,124,124,1.0,6880,54.0,56.0,56.0
Climate_h4_f2,calibration,proxy,124,124,1.0,6936,56.0,56.0,56.0
Climate_h4_f2,decision,conservative_lag,251,251,1.0,13918,54.0,56.0,56.0
Climate_h4_f2,decision,proxy,251,251,1.0,14034,56.0,56.0,56.0
Climate_h4_f2,test,conservative_lag,124,124,1.0,6825,54.0,55.0,56.0
Climate_h4_f2,test,proxy,124,124,1.0,6882,55.0,56.0,56.0
Climate_h4_f2,train,conservative_lag,581,581,1.0,31782,54.0,56.0,56.0
Climate_h4_f2,train,proxy,581,581,1.0,32044,55.0,56.0,56.0
Environment_h7_f2,calibration,conservative_lag,1592,1592,1.0,12399,8.0,8.0,8.0
Environment_h7_f2,calibration,proxy,1592,1592,1.0,12624,8.0,8.0,8.0
Environment_h7_f2,decision,conservative_lag,3190,3190,1.0,23542,7.0,8.0,8.0
Environment_h7_f2,decision,proxy,3190,3190,1.0,23970,7.0,8.0,8.0
Environment_h7_f2,test,conservative_lag,1592,1592,1.0,12222,7.0,8.0,8.0
Environment_h7_f2,test,proxy,1592,1592,1.0,12444,8.0,8.0,8.0
Environment_h7_f2,train,conservative_lag,7927,7927,1.0,56696,7.0,7.0,8.0
Environment_h7_f2,train,proxy,7927,7927,1.0,57728,7.0,8.0,8.0
SocialGood_h3_f1,calibration,conservative_lag,90,70,0.7777777777777778,2186,24.75,32.0,32.0
SocialGood_h3_f1,calibration,proxy,90,71,0.7888888888888889,2218,30.5,32.0,32.0
SocialGood_h3_f1,decision,conservative_lag,181,181,1.0,7142,32.0,32.0,49.0
SocialGood_h3_f1,decision,proxy,181,181,1.0,7235,32.0,32.0,50.0
SocialGood_h3_f1,test,conservative_lag,89,89,1.0,4349,48.0,49.0,50.0
SocialGood_h3_f1,test,proxy,89,89,1.0,4445,49.0,50.0,51.0
SocialGood_h3_f1,train,conservative_lag,340,0,0.0,0,0.0,0.0,0.0
SocialGood_h3_f1,train,proxy,340,0,0.0,0,0.0,0.0,0.0
