numerical_row,start_date,end_date,delta_days_from_previous,missing_weeks_before,duplicate_start,ordered_after_previous,interval_days_inclusive
0,2000-01-04,2000-01-10,,0,0,1,7
1,2000-01-11,2000-01-17,7.0,0,0,1,7
2,2000-01-18,2000-01-24,7.0,0,0,1,7
3,2000-01-25,2000-01-31,7.0,0,0,1,7
4,2000-02-01,2000-02-07,7.0,0,0,1,7
5,2000-02-08,2000-02-14,7.0,0,0,1,7
6,2000-02-15,2000-02-21,7.0,0,0,1,7
7,2000-02-22,2000-02-28,7.0,0,0,1,7
8,2000-02-29,2000-03-06,7.0,0,0,1,7
9,2000-03-07,2000-03-13,7.0,0,0,1,7
10,2000-03-14,2000-03-20,7.0,0,0,1,7
11,2000-03-21,2000-03-27,7.0,0,0,1,7
12,2000-03-28,2000-04-03,7.0,0,0,1,7
13,2000-04-04,2000-04-10,7.0,0,0,1,7
14,2000-04-11,2000-04-17,7.0,0,0,1,7
15,2000-04-18,2000-04-24,7.0,0,0,1,7
16,2000-04-25,2000-05-01,7.0,0,0,1,7
17,2000-05-02,2000-05-08,7.0,0,0,1,7
18,2000-05-09,2000-05-15,7.0,0,0,1,7
19,2000-05-16,2000-05-22,7.0,0,0,1,7
20,2000-05-23,2000-05-29,7.0,0,0,1,7
21,2000-05-30,2000-06-05,7.0,0,0,1,7
22,2000-06-06,2000-06-12,7.0,0,0,1,7
23,2000-06-13,2000-06-19,7.0,0,0,1,7
24,2000-06-20,2000-06-26,7.0,0,0,1,7
25,2000-06-27,2000-07-03,7.0,0,0,1,7
26,2000-07-04,2000-07-10,7.0,0,0,1,7
27,2000-07-11,2000-07-17,7.0,0,0,1,7
28,2000-07-18,2000-07-24,7.0,0,0,1,7
29,2000-07-25,2000-07-31,7.0,0,0,1,7
30,2000-08-01,2000-08-07,7.0,0,0,1,7
31,2000-08-08,2000-08-14,7.0,0,0,1,7
32,2000-08-15,2000-08-21,7.0,0,0,1,7
33,2000-08-22,2000-08-28,7.0,0,0,1,7
34,2000-08-29,2000-09-04,7.0,0,0,1,7
35,2000-09-05,2000-09-11,7.0,0,0,1,7
36,2000-09-12,2000-09-18,7.0,0,0,1,7
37,2000-09-19,2000-09-25,7.0,0,0,1,7
38,2000-09-26,2000-10-02,7.0,0,0,1,7
39,2000-10-03,2000-10-09,7.0,0,0,1,7
40,2000-10-10,2000-10-16,7.0,0,0,1,7
41,2000-10-17,2000-10-23,7.0,0,0,1,7
42,2000-10-24,2000-10-30,7.0,0,0,1,7
43,2000-10-31,2000-11-06,7.0,0,0,1,7
44,2000-11-07,2000-11-13,7.0,0,0,1,7
45,2000-11-14,2000-11-20,7.0,0,0,1,7
46,2000-11-21,2000-11-27,7.0,0,0,1,7
47,2000-11-28,2000-12-04,7.0,0,0,1,7
48,2000-12-05,2000-12-11,7.0,0,0,1,7
49,2000-12-12,2000-12-18,7.0,0,0,1,7
50,2000-12-19,2000-12-25,7.0,0,0,1,7
51,2000-12-26,2001-01-01,7.0,0,0,1,7
52,2001-01-02,2001-01-08,7.0,0,0,1,7
53,2001-01-09,2001-01-15,7.0,0,0,1,7
54,2001-01-16,2001-01-22,7.0,0,0,1,7
55,2001-01-23,2001-01-29,7.0,0,0,1,7
56,2001-01-30,2001-02-05,7.0,0,0,1,7
57,2001-02-06,2001-02-12,7.0,0,0,1,7
58,2001-02-13,2001-02-19,7.0,0,0,1,7
59,2001-02-20,2001-02-26,7.0,0,0,1,7
60,2001-02-27,2001-03-05,7.0,0,0,1,7
61,2001-03-06,2001-03-12,7.0,0,0,1,7
62,2001-03-13,2001-03-19,7.0,0,0,1,7
63,2001-03-20,2001-03-26,7.0,0,0,1,7
64,2001-03-27,2001-04-02,7.0,0,0,1,7
65,2001-04-03,2001-04-09,7.0,0,0,1,7
66,2001-04-10,2001-04-16,7.0,0,0,1,7
67,2001-04-17,2001-04-23,7.0,0,0,1,7
68,2001-04-24,2001-04-30,7.0,0,0,1,7
69,2001-05-01,2001-05-07,7.0,0,0,1,7
