source_bundle_row,origin_id,origin_index,segment,cutoff_time,history_start,segment_lo,segment_hi,package_row,package_partition,horizon_end_index
0,Climate:h4:f2:o52,52,train,2001-01-02T00:00:00,2000-01-04T00:00:00,0,636,0,selection_fit,56
1,Climate:h4:f2:o53,53,train,2001-01-09T00:00:00,2000-01-11T00:00:00,0,636,1,selection_fit,57
2,Climate:h4:f2:o54,54,train,2001-01-16T00:00:00,2000-01-18T00:00:00,0,636,2,selection_fit,58
3,Climate:h4:f2:o55,55,train,2001-01-23T00:00:00,2000-01-25T00:00:00,0,636,3,selection_fit,59
4,Climate:h4:f2:o56,56,train,2001-01-30T00:00:00,2000-02-01T00:00:00,0,636,4,selection_fit,60
5,Climate:h4:f2:o57,57,train,2001-02-06T00:00:00,2000-02-08T00:00:00,0,636,5,selection_fit,61
6,Climate:h4:f2:o58,58,train,2001-02-13T00:00:00,2000-02-15T00:00:00,0,636,6,selection_fit,62
7,Climate:h4:f2:o59,59,train,2001-02-20T00:00:00,2000-02-22T00:00:00,0,636,7,selection_fit,63
8,Climate:h4:f2:o60,60,train,2001-02-27T00:00:00,2000-02-29T00:00:00,0,636,8,selection_fit,64
9,Climate:h4:f2:o61,61,train,2001-03-06T00:00:00,2000-03-07T00:00:00,0,636,9,selection_fit,65
10,Climate:h4:f2:o62,62,train,2001-03-13T00:00:00,2000-03-14T00:00:00,0,636,10,selection_fit,66
11,Climate:h4:f2:o63,63,train,2001-03-20T00:00:00,2000-03-21T00:00:00,0,636,11,selection_fit,67
12,Climate:h4:f2:o64,64,train,2001-03-27T00:00:00,2000-03-28T00:00:00,0,636,12,selection_fit,68
13,Climate:h4:f2:o65,65,train,2001-04-03T00:00:00,2000-04-04T00:00:00,0,636,13,selection_fit,69
14,Climate:h4:f2:o66,66,train,2001-04-10T00:00:00,2000-04-11T00:00:00,0,636,14,selection_fit,70
15,Climate:h4:f2:o67,67,train,2001-04-17T00:00:00,2000-04-18T00:00:00,0,636,15,selection_fit,71
16,Climate:h4:f2:o68,68,train,2001-04-24T00:00:00,2000-04-25T00:00:00,0,636,16,selection_fit,72
